product_ctgr_name	/Arts & Entertainment	/Computers & Electronics	/Finance	/Games	/Home & Garden	/Business & Industrial	/Internet & Telecom	/People & Society	/News	/Shopping	/Law & Government	/Sports	/Books & Literature	/Arts & Entertainment/Performing Arts	/Arts & Entertainment/Visual Art & Design	/Business & Industrial/Advertising & Marketing	/Business & Industrial/Business Services/Office Services	/Real Estate	/Computers & Electronics/Computer Hardware	/Computers & Electronics/Programming	/Computers & Electronics/Software	/Arts & Entertainment/Offbeat	/Arts & Entertainment/Movies	/Arts & Entertainment/Music & Audio	/Arts & Entertainment/TV & Video	/Finance/Banking	/Finance/Insurance	/Games/Card Games	/Games/Computer & Video Games	/Arts & Entertainment/Music & Audio/Jazz & Blues/Jazz
Portal site	0.0661553724053724	0.056463013680505936	0.06118864795335383	0.07202473452473451	0.05969551282051281	0.037335118585118586	0.06001963722551958	0.09902088652088652	0.07907647907647908	0.056927910052910057	0.08357822732822733	0.0661553724053724	0.06736090706678942	0.0644997975880329	0.0494041002801954	0.05497552216302216	0.01947919230527926	0.08522727272727272	0.06314058461891278	0.05803822510478857	0.0596937999221281	0.0681118264451598	0.06828988912322248	0.07693984256484256	0.06892009814803933	0.06118864795335383	0.06914489377724671	0.06909005346505347	0.06430296509953373	0.0731564070849785
Skill up	0.06437070554717612	0.05312552371375901	0.059341892675226	0.07035634118967452	0.054897771074241666	0.03694183902517236	0.05518837553151278	0.1001288834622168	0.07760942760942761	0.05505430242272348	0.08341450216450215	0.06437070554717614	0.06441456600770328	0.06269443458985942	0.048364278112177264	0.05396595280173711	0.01955744418979713	0.08152680652680652	0.058781100284368254	0.05519764670091467	0.05687391765823138	0.06636591742800892	0.06636591742800892	0.0754834127383147	0.06663930885744612	0.059341892675226	0.0664674831341498	0.06736352336842533	0.06153200164638072	0.07157591474818363
Marriage	0.07912087912087913	0.06537518853695323	0.07326839826839826	0.0860042735042735	0.06690705128205128	0.04498626373626373	0.0672209530665413	0.11922348484848486	0.09422348484848485	0.06822916666666667	0.10066808191808192	0.07912087912087912	0.0784425439756322	0.07717005217005217	0.057877539127539124	0.06582922286047285	0.022493131868131868	0.09422348484848485	0.07161052455170103	0.06800625844743491	0.06995708539826187	0.08141534391534391	0.08168243793243793	0.09167082917082917	0.08128103514132927	0.07326839826839826	0.0796363358863359	0.08256257631257631	0.07539324101824102	0.08727562120419263
PC	0.08012820512820512	0.06875	0.07417582417582418	0.08712121212121213	0.07291666666666666	0.043560606060606064	0.0733305909776498	0.11180555555555555	0.09545454545454546	0.06904761904761905	0.09633838383838383	0.08012820512820512	0.08166392431098313	0.07814407814407814	0.05860805860805861	0.06567599067599068	0.021780303030303032	0.10795454545454546	0.07717236467236467	0.07055860805860804	0.07254273504273505	0.08245920745920746	0.08245920745920746	0.09284188034188035	0.08342131724484665	0.07417582417582418	0.08569902319902319	0.08362470862470862	0.07807123432123432	0.08839216339216337
Diet	0.07410714285714286	0.06630410514408192	0.06880570409982174	0.08034188034188033	0.07235576923076922	0.044139194139194135	0.07275160501263442	0.12017773892773893	0.08779761904761904	0.0642361111111111	0.09973359973359974	0.07410714285714286	0.07760820674423616	0.07233999660470249	0.05425499745352687	0.06254578754578755	0.022069597069597068	0.09077380952380952	0.07515003021001472	0.06713797146266187	0.06890511771510223	0.07618538868538867	0.07711640211640211	0.08550511988011988	0.07813404426455897	0.06880570409982174	0.07585584350290232	0.0772245115995116	0.0738344512241571	0.08151094936809224
Software	0.07811927655677656	0.06682171350321506	0.07237958120311061	0.08486790986790986	0.07051282051282051	0.04243395493395494	0.07087991665197549	0.10882780414030413	0.09292478354978355	0.06743551587301587	0.0937964812964813	0.07811927655677656	0.0793688235783824	0.07620604477222125	0.05715453357916593	0.06397799249361749	0.021216977466977465	0.10006313131313133	0.07449795145228581	0.06867433606984691	0.07058756785440222	0.08036882099382099	0.08063591501091501	0.09042216464091463	0.08119411736139677	0.07237958120311061	0.08156906410582881	0.0814935932123432	0.07592010386128033	0.08611358879216022
stocks	0.08434829059829059	0.06926310166441745	0.07765273941744529	0.09234006734006732	0.07147435897435896	0.046170033670033674	0.07185541174511763	0.12188644688644688	0.10205627705627705	0.07195767195767196	0.10324166574166575	0.08434829059829059	0.08435541174511763	0.08211644020467551	0.06158733015350663	0.06968615874865874	0.023085016835016833	0.1082070707070707	0.07663598990353376	0.07205964758209339	0.0742914979757085	0.08701221617888284	0.08701221617888284	0.09924577737077737	0.08737359794345088	0.07765273941744529	0.08753460591695887	0.088344178969179	0.08048905524395719	0.09400282257425115
Home games	0.0652014652014652	0.05569724393253805	0.06034571489116944	0.07091898000988911	0.05885780885780885	0.035459490004944555	0.05917776519380797	0.09127312081857539	0.07775482093663913	0.056168831168831174	0.07850028759119668	0.0652014652014652	0.06630586436736169	0.06358288176469995	0.04879616507523484	0.05346881653699836	0.018574018574018573	0.08230027548209368	0.062280421103950524	0.05724673425208184	0.0588653176888471	0.06710730347093982	0.06749580385944022	0.07564153018698473	0.06783535834337974	0.060345714891169425	0.067468894741622	0.06806022260567715	0.06337416791962247	0.07198400445153691
Anti aging	0.06698717948717949	0.05616565452091768	0.06183655916276236	0.07309458218549128	0.05871212121212121	0.03943329397874853	0.0590354387145831	0.10804195804195804	0.08046044864226683	0.05743145743145743	0.08939444393989848	0.06698717948717949	0.06758522226436664	0.06527030604570713	0.05009116510484501	0.056578554021735845	0.020655534941249228	0.08608815426997245	0.0625667948036369	0.058055956068199244	0.05977282950967161	0.06902298038661676	0.06902298038661676	0.07825993450993453	0.06955426109837876	0.061836559162762365	0.06976831843142003	0.07004088083633538	0.06454775418679162	0.07430123988565547
Government agencies/municipalities/public organizations	0.0858974358974359	0.07144764957264957	0.07893668831168832	0.09424603174603174	0.08741987179487179	0.08928571428571427	0.07535577167930109	0.22088744588744588	0.10445804195804195	0.0730392156862745	0.16532738095238095	0.0858974358974359	0.08705448962801904	0.08357718670218671	0.06686174936174936	0.0922317266067266	0.0510204081632653	0.10445804195804195	0.07996794871794871	0.07394399581899581	0.076264245014245	0.08868030118030118	0.09030367780367782	0.10157967032967033	0.08967692846369317	0.07893668831168832	0.08659136002886003	0.09007173382173382	0.08270086395086394	0.09605136926565498
