id,name
101000000003,/Arts & Entertainment
101000000005,/Computers & Electronics
101000000007,/Finance
101000000008,/Games
101000000011,/Home & Garden
101000000012,/Business & Industrial
101000000013,/Internet & Telecom
101000000014,/People & Society
101000000016,/News
101000000018,/Shopping
101000000019,/Law & Government
101000000020,/Sports
101000000022,/Books & Literature
101000000023,/Arts & Entertainment/Performing Arts
101000000024,/Arts & Entertainment/Visual Art & Design
101000000025,/Business & Industrial/Advertising & Marketing
101000000028,/Business & Industrial/Business Services/Office Services
101000000029,/Real Estate
101000000030,/Computers & Electronics/Computer Hardware
101000000031,/Computers & Electronics/Programming
101000000032,/Computers & Electronics/Software
101000000033,/Arts & Entertainment/Offbeat
101000000034,/Arts & Entertainment/Movies
101000000035,/Arts & Entertainment/Music & Audio
101000000036,/Arts & Entertainment/TV & Video
101000000037,/Finance/Banking
101000000038,/Finance/Insurance
101000000039,/Games/Card Games
101000000041,/Games/Computer & Video Games
101000000042,/Arts & Entertainment/Music & Audio/Jazz & Blues/Jazz
101000000043,/Online Communities/Online Goodies
101000000044,/Beauty & Fitness
101000000045,/Health
101000000046,/Business & Industrial/Agriculture & Forestry
101000000047,/Autos & Vehicles
101000000048,/Business & Industrial/Construction & Maintenance
101000000049,/Business & Industrial/Manufacturing
101000000050,/Business & Industrial/Transportation & Logistics
101000000053,/Internet & Telecom/Web Services/Web Hosting & Domain Registration
101000000054,/People & Society/Social Issues & Advocacy
101000000055,/Online Communities/Dating & Personals
101000000056,/People & Society/Ethnic & Identity Groups
101000000057,/People & Society/Social Issues & Advocacy/Charity & Philanthropy
101000000058,/People & Society/Family & Relationships/Family/Parenting
101000000059,/People & Society/Religion & Belief
101000000060,/Jobs & Education/Jobs
101000000061,/Shopping/Classifieds
101000000063,/News/Weather
101000000064,/Shopping/Antiques & Collectibles
101000000065,/Hobbies & Leisure
101000000066,/Pets & Animals
101000000067,/Travel
101000000068,/Shopping/Apparel
101000000069,/Shopping/Consumer Resources
101000000070,/Shopping/Gifts & Special Event Items
101000000071,/Food & Drink
101000000073,/Shopping/Mass Merchants & Department Stores
101000000074,/Jobs & Education/Education
101000000075,/Law & Government/Legal
101000000076,/Law & Government/Government
101000000077,/Computers & Electronics/Enterprise Technology
101000000078,/Computers & Electronics/Consumer Electronics
101000000082,/People & Society/Social Issues & Advocacy/Green Living & Environmental Issues
101000000083,/Business & Industrial/Advertising & Marketing/Marketing
101000000084,/Internet & Telecom/Web Services/Search Engine Optimization & Marketing
101000000089,/Autos & Vehicles/Vehicle Parts & Accessories
101000000091,/Computers & Electronics/Consumer Electronics/Audio Equipment/Stereo Systems & Components
101000000093,/Beauty & Fitness/Face & Body Care/Skin & Nail Care
101000000094,/Beauty & Fitness/Fitness
101000000095,/Business & Industrial/Business Services/Office Supplies
101000000096,/Real Estate/Real Estate Agencies
101000000097,/Shopping/Consumer Resources/Consumer Advocacy & Protection
101000000098,/Beauty & Fitness/Fashion & Style/Fashion Designers & Collections
101000000099,/Shopping/Gifts & Special Event Items/Gifts
101000000100,/Shopping/Gifts & Special Event Items/Cards & Greetings
101000000101,/People & Society/Religion & Belief/Spirituality
101000000102,/Online Communities/Dating & Personals/Personals
101000000104,/Internet & Telecom/Service Providers/ISPs
101000000105,/Games/Online Games
101000000107,/Finance/Investing
101000000108,/Reference/Language Resources
101000000112,/News/Broadcast & Network News
101000000113,/People & Society/Ethnic & Identity Groups/Gay-Lesbian-Bisexual-Transgender
101000000115,/People & Society/Family & Relationships/Family/Parenting/Babies & Toddlers/Baby Care & Hygiene
101000000118,/Sports/Water Sports
101000000119,/Pets & Animals/Wildlife
101000000120,/Home & Garden/Kitchen & Dining/Cookware & Diningware
101000000121,/Food & Drink/Food & Grocery Retailers
101000000122,/Food & Drink/Cooking & Recipes
101000000124,/Shopping/Apparel/Clothing Accessories
101000000137,/Home & Garden/Homemaking & Interior Decor
101000000138,/Autos & Vehicles/Vehicle Maintenance
101000000143,/Beauty & Fitness/Face & Body Care
101000000144,/Beauty & Fitness/Face & Body Care/Unwanted Body & Facial Hair Removal
101000000145,/Beauty & Fitness/Spas & Beauty Services
101000000146,/Beauty & Fitness/Hair Care
101000000147,/Beauty & Fitness/Cosmetology & Beauty Professionals
101000000148,/Autos & Vehicles/Off-Road Vehicles
101000000157,/Business & Industrial/Business Operations/Human Resources
101000000158,/Home & Garden/Home Improvement
101000000166,/Law & Government/Public Safety
101000000168,/Law & Government/Public Safety/Emergency Services
101000000170,/Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle Licensing & Registration
101000000171,/People & Society/Ethnic & Identity Groups/Indigenous Peoples/Native Americans
101000000174,/Science
101000000179,/Travel/Hotels & Accommodations
101000000180,/Sports/Motor Sports
101000000182,/Arts & Entertainment/Humor
101000000184,/Arts & Entertainment/Celebrities & Entertainment News
101000000185,/Beauty & Fitness/Fashion & Style
101000000188,"/Arts & Entertainment/Events & Listings/Bars, Clubs & Nightlife"
101000000189,/Hobbies & Leisure/Clubs & Organizations
101000000191,/Online Communities/Forum & Chat Providers
101000000195,/Health/Reproductive Health
101000000198,/Health/Reproductive Health/Birth Control
101000000202,/Health/Reproductive Health/Erectile Dysfunction
101000000203,/Travel/Air Travel
101000000205,/Travel/Car Rental & Taxi Services
101000000206,/Travel/Cruises & Charters
101000000208,/Travel/Tourist Destinations
101000000210,/Arts & Entertainment/Movies/DVD & Video Shopping
101000000211,/Arts & Entertainment/TV & Video/Online Video
101000000213,/Arts & Entertainment/Movies/Movie Memorabilia
101000000215,/Arts & Entertainment/Music & Audio/Radio
101000000216,/Arts & Entertainment/Music & Audio/Music Equipment & Technology/Musical Instruments
101000000217,/Arts & Entertainment/Music & Audio/CD & Audio Shopping
101000000218,/Arts & Entertainment/Music & Audio/Music Art & Memorabilia
101000000220,/Arts & Entertainment/Music & Audio/Music Streams & Downloads
101000000224,/Computers & Electronics/Software/Software Utilities
101000000225,/Computers & Electronics/Software/Device Drivers
101000000226,/Computers & Electronics/Computer Hardware/Computer Components/Computer Memory
101000000227,/Computers & Electronics/Consumer Electronics/Gadgets & Portable Electronics/MP3 & Portable Media Players
101000000228,/Computers & Electronics/Consumer Electronics/Gadgets & Portable Electronics/PDAs & Handhelds
101000000229,/Computers & Electronics/Consumer Electronics/TV & Video Equipment
101000000230,/Computers & Electronics/Consumer Electronics/Car Electronics/Car Audio
101000000231,/Science/Engineering & Technology
101000000233,/Business & Industrial/Energy & Utilities
101000000234,/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics
101000000235,/Beauty & Fitness/Hair Care/Hair Loss
101000000236,/Beauty & Fitness/Weight Loss
101000000237,/Health/Nutrition/Vitamins & Supplements
101000000238,/Beauty & Fitness/Cosmetic Procedures/Cosmetic Surgery
101000000239,/Beauty & Fitness/Body Art
