product_ctgr_name	/Arts & Entertainment	/Computers & Electronics	/Finance	/Games	/Home & Garden	/Business & Industrial	/Internet & Telecom	/People & Society	/News	/Shopping	/Law & Government	/Sports	/Books & Literature	/Arts & Entertainment/Performing Arts	/Arts & Entertainment/Visual Art & Design	/Business & Industrial/Advertising & Marketing	/Business & Industrial/Business Services/Office Services	/Real Estate	/Computers & Electronics/Computer Hardware	/Computers & Electronics/Programming	/Computers & Electronics/Software	/Arts & Entertainment/Offbeat	/Arts & Entertainment/Movies	/Arts & Entertainment/Music & Audio	/Arts & Entertainment/TV & Video	/Finance/Banking	/Finance/Insurance	/Games/Card Games	/Games/Computer & Video Games	/Arts & Entertainment/Music & Audio/Jazz & Blues/Jazz
Portal site	0.07390468502855943	0.03886985848800252	1.0000000000000004e-300	0.018677119696250376	0.0638262675532925	0.06256746746808048	0.028380844123830722	0.05538803168336699	0.06182579328232631	1e-300	0.05453281788810812	0.018276992628989276	0.0476573152810953	0.072464099389527	0.05953375722440839	0.044745721372965404	0.06093528708635674	0.09132748985732907	0.04459367615266434	0.02332191509280151	0.05264020993692401	0.06334687288162237	0.06334687288162237	0.055780901057225045	0.040311646379214236	1.0000000000000002e-300	1.0000000000000004e-300	0.023253748389484085	0.023004135151625832	0.03562664239691245
Skill up	0.07037554285349769	0.03714345668441968	9.999999999999999e-301	0.017569042577970904	0.06088679825845972	0.060171224726222446	0.02709910509872867	0.05331073889640094	0.05951575508755044	9.999999999999999e-301	0.052412861071304856	0.017563263442540798	0.045851861750821406	0.0690669838059434	0.05674649646414658	0.04302194172381015	0.05851271015344557	0.0840226278553227	0.042541652627687915	0.02228607401065181	0.05010368655052472	0.06032189387442658	0.06032189387442658	0.05320505307126022	0.03838665973827146	1.0000000000000005e-300	9.999999999999999e-301	0.021952465891578062	0.021763559886495643	0.034027467198976785
Marriage	0.0677235194286441	0.03605657035654332	1.0000000000000004e-300	0.017083981041025133	0.05902357655799514	0.058067987427027914	0.026365831900010826	0.05116100439411406	0.057051329758575006	9.999999999999999e-301	0.050426608067347056	0.016859630810837817	0.04408066608128899	0.06649727977261005	0.054721829239427276	0.041523202393209224	0.05651648296687178	0.08091931260670303	0.0413199003818127	0.02163394221392599	0.04802631307050285	0.05804873093883779	0.05804873093883779	0.05121896070558011	0.036940101506533145	9.999999999999999e-301	1.0000000000000004e-300	0.021297390129575846	0.02114953589435046	0.03271806651591179
PC	0.06246101051894474	0.03425822943411675	1e-300	0.015904995337901098	0.05495861233739097	0.0536649054325637	0.02499532677857036	0.04594215249920684	0.0537219590842795	1.0000000000000002e-300	0.046849591004678996	0.01583083706450146	0.04243003870502043	0.061390523754615456	0.05055559929660082	0.03839935172909713	0.05233221407881259	0.07347960466352536	0.03914578960194994	0.02055493766047005	0.04906591600449944	0.053538009016238335	0.053538009016238335	0.04746891682919128	0.034069642101242574	9.999999999999997e-301	9.999999999999999e-301	0.01974911124942072	0.019837831215661593	0.030425976649540852
Diet	0.0746616090202174	0.03945348851131218	9.999999999999999e-301	0.018990713160513834	0.06487013419403494	0.06331683937300493	0.02879718015280189	0.05668621192782491	0.06222472030491426	1e-300	0.055294601472540617	0.018433913851974234	0.04825718450981612	0.0731719177629621	0.060113064871721036	0.04525653216502681	0.06157173190792248	0.09247043564196163	0.04527500420074156	0.023672093106787303	0.053494375926918324	0.06399566487447206	0.06399566487447206	0.05636924859781923	0.040724514011027675	9.999999999999997e-301	1.0000000000000005e-300	0.023586820529915592	0.023375593592827763	0.03600287266782883
Software	0.0639350849306557	0.033958689217447935	9.487179487179491e-301	0.016269875205144096	0.055442530926450434	0.054162393510021875	0.02480773751068585	0.047333833787486124	0.05355383583730709	9.487179487179483e-301	0.04707026545138856	0.015832144881964754	0.041304805620502365	0.06272543430471382	0.05159057356448928	0.038751097809075576	0.05283585312942924	0.07961278291369386	0.03894421004845638	0.02037521353046876	0.0454600790902821	0.05480150136913346	0.054801501369133455	0.04829284041992754	0.034873682689448564	9.487179487179487e-301	9.487179487179488e-301	0.02022550009627367	0.02006033535063777	0.030834678288544262
stocks	0.06630320917478899	0.035858699716033435	1.0000000000000005e-300	0.01687035884846545	0.05798372598216429	0.0567281598708589	0.026155191132755846	0.04906367509779138	0.05617944971314955	9.999999999999999e-301	0.04931385508838119	0.016594857023870632	0.04377139382537105	0.06513197264524935	0.053627902102136325	0.04058945965022211	0.05533063789309642	0.08023805545278688	0.04102670569331127	0.021515219829620062	0.04895006606398981	0.05683132214981913	0.05683132214981914	0.0502186814732594	0.03616538682261218	1e-300	1.0000000000000002e-300	0.020974918020610907	0.020939289034372876	0.03210683128777336
Home games	0.06803249671966899	0.036239651750081696	1.0000000000000004e-300	0.01719755892550882	0.05911408327649219	0.05802387399634898	0.02649805759401494	0.05053139253801049	0.05731025124826573	1e-300	0.0503270708667329	0.016923473386714155	0.044159990549410784	0.06680130196848526	0.054976827091596236	0.04151423484559077	0.05658320971827145	0.08236139380273406	0.04153153876085208	0.02174379105004902	0.04820714963737969	0.058313568616859116	0.05831356861685913	0.05144157577999496	0.037108634574364904	1.0000000000000002e-300	1.0000000000000004e-300	0.021428924222761745	0.021278007387917294	0.03285386371833438
Anti aging	0.06741243547349013	0.036133824212876274	9.999999999999999e-301	0.01718125551569759	0.058980039724662627	0.05789705379156037	0.02642442628069175	0.050878635097307875	0.0565595485340121	9.999999999999997e-301	0.0502484605233793	0.01677482261979345	0.04393114382310862	0.06620228835850112	0.054509071310272474	0.04139948523351356	0.05630917521609025	0.0825502618680408	0.04140555695338935	0.021680294527725765	0.047803952727951814	0.05778208754870584	0.05778208754870582	0.05099157782044405	0.036770419349176436	9.999999999999999e-301	9.999999999999999e-301	0.021360606300662086	0.021242520236521595	0.03256357789551365
Government agencies/municipalities/public organizations	0.045810024644205874	0.023172833927678018	8.333333333333334e-301	0.011427169230868714	0.041675369915980226	0.042637060315436195	0.016955470723071922	0.040597858830807236	0.035854747977733054	8.333333333333334e-301	0.039829227851656636	0.011223619411386406	0.028428577472106514	0.04505506626441691	6.369426751592357e+297	0.030517329102052952	2.590673575129534e+297	0.047546208220124266	0.026543148914013447	0.013903700356606812	0.029641199626406656	0.03926573540931932	0.03926573540931932	0.03426139028012169	0.024987286169566844	8.333333333333333e-301	8.333333333333333e-301	0.014550918493560652	0.013944097380184994	0.021636572552987232
News/Publications	0.04633657155135625	0.023707281841275168	8.888888888888889e-301	0.010992894995914989	0.03732390904090533	0.04067913500182659	0.01775197173528652	0.030474731812365756	1.1111111111111112e+299	8.88888888888889e-301	0.032615619033612694	0.01271844060258693	0.056518511992444495	0.0452982084914781	0.036871882039910986	0.02979410010294376	0.03825856444449386	0.044362936134472244	0.0267938715209854	0.014224369104765098	0.03045986892233218	0.039717061329733926	0.039717061329733926	0.03465189716727728	0.025274493573467047	8.88888888888889e-301	8.888888888888889e-301	0.013923223640371473	0.013717406462777885	0.022043756312551503
Hosting service	0.06273263993103152	0.03364918164582554	9.758064516129032e-301	0.01584449851799041	0.05477095475810647	0.05386508897289009	0.024600513834955918	0.04698650831555628	0.05324096869998705	9.758064516129035e-301	0.0468044346944105	0.015712123579493288	0.041298471983698355	0.06162718719144173	0.05072526881254681	0.038528249249741076	0.05246319452596033	0.07550390029481158	0.0385261793759329	0.020189508987495323	0.04552437391951287	0.053770834226598445	0.053770834226598445	0.04751270639396143	0.03421780359874446	9.758064516129032e-301	9.758064516129032e-301	0.019742114961511636	0.01965978775966936	0.03038093152407681
Pharmaceuticals	0.06890229901579999	0.03670924078427871	1.0000000000000002e-300	0.017389239510502957	0.05990554115505289	0.05881377800602007	0.02681859441022286	0.05151629478803375	0.05824382515577049	1.0000000000000005e-300	0.051184331519172274	0.01718721701694162	0.045085982366209955	0.06764093163250609	0.05563362632724069	0.04206875729716202	0.057307458325397	0.0829580817994406	0.04205669016460012	0.02202554447056723	0.04993293068872639	0.05905911344211428	0.05905911344211428	0.052117758593412555	0.037583072190436356	1e-300	1e-300	0.021665585482887276	0.021529239783454904	0.03331659077562036
Vehicle trading	0.0635559803307566	0.03410253546122031	9.776119402985075e-301	0.01607164747699182	0.05547357857945104	0.05448166370042005	0.024928108891333952	0.04747887885808027	0.05376090115158939	9.776119402985075e-301	0.04734221960518577	0.01589271526021505	0.04176010219967245	0.06242502855704756	0.05138253050156938	0.03897015203022027	0.05305190560967913	0.0757407635363778	0.03905339355620257	0.020461521276732186	0.04605598532396315	0.05447655456921995	0.05447655456921995	0.04812111831260253	0.03466689836223088	9.776119402985074e-301	9.776119402985075e-301	0.020016895904379793	0.019935409187897924	0.030763090252868983
Other vehicles	0.0645216745728317	0.0343763522416852	9.71153846153846e-301	0.016259275846854153	0.056106585080787176	0.05514304017252244	0.02511167719196	0.048363205532498114	0.054629919084962716	9.711538461538464e-301	0.048019912063416936	0.016113954386869175	0.04233443636740346	0.0633437839970957	0.052094758397417125	0.039439925740773076	0.05371289740097326	0.0777843312724155	0.03937616626556802	0.020625811345011125	0.04705841525014203	0.05530429249099859	0.05530429249099859	0.04882117202263149	0.035193640676090016	9.711538461538462e-301	9.71153846153846e-301	0.02026458636601244	0.020141506502889376	0.031216616064457314
Hair Care	0.0684009505959621	0.03664373679356081	1.0000000000000004e-300	0.0173544176272296	0.05974994656984089	0.05846585814974093	0.026751531965080583	0.051417289492696375	0.05772845230538618	1e-300	0.050948888790464934	0.017046967273130632	0.04495218148606315	0.06714131411252539	0.05524183902076904	0.04181047683178926	0.056953880660945116	0.08234520549902186	0.04197513972026596	0.02198624207613649	0.05040420412976465	0.058629386225110366	0.058629386225110366	0.05175549960516132	0.03730960941597932	9.999999999999999e-301	1.0000000000000002e-300	0.021585750869133186	0.021487843162872004	0.033079896503712056
