product_ctgr_name	/Arts & Entertainment	/Computers & Electronics	/Finance	/Games	/Home & Garden	/Business & Industrial	/Internet & Telecom	/People & Society	/News	/Shopping
Portal site	1e-300	1e-300	5e-301	5e-301	1e-300	1e-300	7.5e-301	1e-300	1e-300	5e-301
Skill up	0.02341729130840955	1e-300	1e-300	1e-300	0.047545547957596405	1e-300	1e-300	1e-300	0.020410471306322602	1e-300
Marriage	0.0514022483404097	0.04235734076404609	1e-300	1e-300	0.0462441293448346	0.047436407733025696	0.020944826849087834	0.05110498357746898	0.04582798974298544	1e-300
PC	1e-300	1e-300	5e-301	5e-301	1e-300	1e-300	7.5e-301	1e-300	1e-300	5e-301
Diet	1e-300	1e-300	5e-301	5e-301	1e-300	1e-300	7.5e-301	1e-300	1e-300	5e-301
Software	0.07015450473121052	0.05456149657317564	1e-300	1e-300	0.05916036732948237	0.05275095528705975	0.026893970871319534	0.06670997940001605	0.06708989500940768	1e-300
stocks	1e-300	1e-300	5e-301	1e-300	1e-300	1e-300	1e-300	1e-300	1e-300	5e-301
Home games	1e-300	1e-300	5e-301	5e-301	1e-300	1e-300	7.5e-301	1e-300	1e-300	5e-301
Anti aging	1e-300	1e-300	1e-300	1e-300	1e-300	1e-300	1e-300	1e-300	1e-300	1e-300
Government agencies/municipalities/public organizations	0.061023169259653086	1e-300	1e-300	1e-300	0.04586017097473706	0.050370034264833566	1e-300	0.021993837318331978	0.047264704609360865	1e-300
News/Publications	0.0519197979385507	0.040774803807784345	1e-300	1e-300	0.044586068782485305	0.04503893480690707	1e-300	0.045763676474093	0.04441705783218287	1e-300
Hosting service	0.0558238775218869	0.04235734076404609	1e-300	1e-300	0.047269030102534824	0.04997815819936598	0.020944826849087834	0.05110498357746898	0.04582798974298544	1e-300
Pharmaceuticals	1e-300	1e-300	5e-301	5e-301	1e-300	1e-300	7.5e-301	1e-300	1e-300	5e-301
Vehicle trading	1e-300	1e-300	1e-300	5e-301	1e-300	1e-300	1e-300	1e-300	1e-300	1e-300
Other vehicles	1e-300	1e-300	5e-301	5e-301	1e-300	1e-300	1e-300	1e-300	1e-300	5e-301
Hair Care	1e-300	1e-300	5e-301	5e-301	1e-300	1e-300	7.5e-301	1e-300	1e-300	5e-301
Legal affairs/accounting/auditing	1e-300	1e-300	5e-301	1e-300	1e-300	1e-300	1e-300	1e-300	1e-300	1e-300
Arts and Design	0.061516774223027156	0.041009969837407304	1e-300	1e-300	0.048050916036117094	0.052082743855256894	1e-300	0.05020041031733163	0.048896746301851535	1e-300
Hardware	1e-300	1e-300	5e-301	1e-300	1e-300	1e-300	1e-300	1e-300	1e-300	5e-301
Entertainment	0.08774434945204959	0.052031295025072685	1e-300	1e-300	0.05619410758752626	0.06917263133719181	0.02566367928815011	0.0629581779068129	0.057368167293564774	1e-300
sightseeing/spot/name/trace	0.05133331405400221	0.03965406338187891	1e-300	1e-300	0.04754550347886506	0.0457931923428755	1e-300	0.04722103904055206	0.045880971739756936	1e-300
Hotels	0.05238705886691039	0.05149127933732067	1e-300	1e-300	0.05500254646900976	0.04196073763025689	0.030746293964007184	0.05031704028572624	0.04302182632103659	1e-300
food	0.07755565375529239	0.051034115330952	1e-300	1e-300	0.06365835692385938	0.06316338531164026	0.024688484892281128	0.06372152695006567	0.05874594468532516	1e-300
Consumer finance	1e-300	1e-300	1e-300	5e-301	1e-300	1e-300	1e-300	1e-300	1e-300	5e-301
Cruise	1e-300	1e-300	5e-301	5e-301	1e-300	1e-300	7.5e-301	1e-300	1e-300	5e-301
Maternity	1e-300	1e-300	5e-301	1e-300	1e-300	1e-300	1e-300	1e-300	1e-300	5e-301
Skin Care	1e-300	1e-300	5e-301	5e-301	1e-300	1e-300	7.5e-301	1e-300	1e-300	5e-301
Construction and construction	0.048381901154832346	1e-300	1e-300	1e-300	0.040793725765366065	0.04105848553963169	1e-300	1e-300	0.041908969058033735	1e-300
Furniture/Interior	0.06038129976484974	0.04920906684898385	1e-300	1e-300	0.0574401345630917	0.04846146465139746	0.02275882395901962	0.054550255530925296	0.049029510813885645	1e-300
Antique items	0.049946769544176345	1e-300	1e-300	1e-300	0.043436784562437394	0.040380498383900065	1e-300	1e-300	0.04136223595455478	7.5e-301
Food Stores/Izakaya/Renting/Nightclub	0.05534578498305917	0.046277201235273964	1e-300	1e-300	0.05436267704125616	0.04579396916432088	1e-300	0.05194143143414817	0.04621138093257137	1e-300
drugs	0.06701710915860411	0.06124063342697145	1e-300	1e-300	0.05812296914207521	0.050852530088184605	0.02943488210082531	0.05841355566244119	0.05241936801347939	1e-300
Gardening	1e-300	1e-300	5e-301	5e-301	1e-300	1e-300	7.5e-301	1e-300	1e-300	1e-300
Domain	0.06466174020297263	1e-300	1e-300	1e-300	0.056101757496724476	0.050173216733595066	1e-300	1e-300	0.05169784553361428	1e-300
Real Estate/Used/Others	0.06820203892777284	0.05337315935276646	1e-300	0.048004441373362516	0.05570220239655218	0.05163937253277243	0.02631635232029124	0.06399612982216629	0.053255843670572414	1e-300
Resort	1e-300	1e-300	5e-301	5e-301	1e-300	1e-300	1e-300	1e-300	1e-300	5e-301
