product_ctgr_name	/Arts & Entertainment	/Computers & Electronics	/Finance	/Games	/Home & Garden	/Business & Industrial	/Internet & Telecom	/People & Society	/News	/Shopping
Portal site	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Skill up	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Marriage	0.04876991128323225	1e-300	1e-300	1e-300	0.041510144450457524	0.041258008985013035	1e-300	1e-300	0.042283420299557437	1e-300
PC	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Diet	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Software	0.0656869238708619	1e-300	1e-300	1e-300	0.05316382974310609	0.05275095528705975	1e-300	1e-300	0.0544389047388532	1e-300
stocks	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Home games	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Anti aging	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Government agencies/municipalities/public organizations	1e-300	5e-301	5e-301	5e-301	1e-300	5e-301	5e-301	5e-301	1e-300	5e-301
News/Publications	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Hosting service	0.04709789906779049	1e-300	1e-300	1e-300	0.041510144450457524	0.03936943064350597	1e-300	1e-300	0.04030205346373646	1e-300
Pharmaceuticals	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Vehicle trading	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Other vehicles	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Hair Care	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Legal affairs/accounting/auditing	1e-300	5e-301	5e-301	5e-301	1e-300	5e-301	5e-301	5e-301	1e-300	5e-301
Arts and Design	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Hardware	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Entertainment	0.06205402674101263	1e-300	1e-300	1e-300	0.05075873993180529	0.05038224444870655	1e-300	1e-300	0.0519197979385507	1e-300
sightseeing/spot/name/trace	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Hotels	0.0508549901808935	1e-300	1e-300	1e-300	0.04440126503775051	0.04196073763025689	1e-300	1e-300	0.04302182632103659	1e-300
food	0.05922570973020013	1e-300	1e-300	1e-300	0.0488505223730624	0.048501705368427885	1e-300	1e-300	0.049925000001321176	1e-300
Consumer finance	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Cruise	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Maternity	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Skin Care	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Construction and construction	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Furniture/Interior	0.047241495676455254	1e-300	1e-300	1e-300	1e-300	5e-301	1e-300	1e-300	0.040407153882380434	1e-300
Antique items	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Food Stores/Izakaya/Renting/Nightclub	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
drugs	0.06453004917999063	1e-300	1e-300	1e-300	0.04599723807218137	0.050852530088184605	1e-300	1e-300	0.05241936801347939	1e-300
Gardening	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Domain	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Real Estate/Used/Others	0.06397217488381693	1e-300	1e-300	1e-300	0.047778508073291835	1e-300	1e-300	1e-300	0.053255843670572414	1e-300
Resort	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Religion	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Cosmetic surgery	0.04849136388371825	1e-300	1e-300	1e-300	0.041308180871587746	0.04105848553963169	1e-300	1e-300	0.042073881028880926	1e-300
movies	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
sports	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Network equipment	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
travel	0.05784403280860284	1e-300	1e-300	1e-300	0.047906672578737604	0.04757115818249463	1e-300	1e-300	0.04893959200087103	1e-300
comparison site	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
encounter	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Home appliances	0.05197521560780287	1e-300	1e-300	1e-300	0.04525282771291706	0.04272045941570403	1e-300	1e-300	0.04382082290633558	1e-300
Toy store	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
funeral service	0.04709789906779049	1e-300	1e-300	1e-300	0.041510144450457524	0.03936943064350597	1e-300	1e-300	0.04030205346373646	1e-300
games	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
finance	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Sports equipment	0.05980326028523441	1e-300	1e-300	1e-300	0.0510735049798919	0.047870837017703456	1e-300	1e-300	0.04925681744807194	1e-300
Internet Service Provider	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Seasoning/Preserved food/Food accessories	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
offices	0.04675842480701508	1e-300	1e-300	1e-300	0.04124621745357575	0.039131945732585396	1e-300	1e-300	0.04005321927665216	1e-300
Hiring jobs	0.04594955195166219	1e-300	1e-300	1e-300	0.040615528329154695	0.03856381208811353	1e-300	1e-300	0.03945822325480808	1e-300
Real estate/sale	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
School/educational institution/education service	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Renovation	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Photos/videos	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
shoes	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Insurance	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
investment	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Detective	0.045149457592049205	1e-300	1e-300	1e-300	0.03998914297574217	0.03799867244561949	1e-300	1e-300	0.03886676605537098	1e-300
Books	0.04433778658494076	1e-300	1e-300	1e-300	0.039351096343629294	0.03742210499093731	1e-300	1e-300	0.0382637629195128	1e-300
Entertainment facilities	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Construction materials	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
phone	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Music	0.046683735686659046	1e-300	1e-300	1e-300	0.03998914297574217	0.039755094233781894	1e-300	1e-300	0.04070629926195393	1e-300
Shopping center/Commercial facilities/Factory	1e-300	5e-301	5e-301	5e-301	1e-300	5e-301	5e-301	5e-301	1e-300	5e-301
fortune telling	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Learning materials	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Care Center	1e-300	5e-301	5e-301	5e-301	1e-300	5e-301	5e-301	5e-301	1e-300	5e-301
Make-Cosmetics	0.04709789906779049	1e-300	1e-300	1e-300	0.041510144450457524	0.03936943064350597	1e-300	1e-300	0.04030205346373646	1e-300
Credit card	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Language/studies/study/abroad	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Internet	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	1e-300	5e-301	1e-300	5e-301
points/Sweepstakes	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Manga/animation/youth	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Junior College/University	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
TV Shows	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Hospital/Clinic	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Sunburn/Sun care	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
pets	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Mobile phone	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
online game	1e-300	5e-301	5e-301	5e-301	1e-300	5e-301	5e-301	5e-301	1e-300	5e-301
Fitness/Gym	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Real Estate/Rent	0.04849136388371825	1e-300	1e-300	1e-300	0.041308180871587746	0.04105848553963169	1e-300	1e-300	0.042073881028880926	1e-300
Toys	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Bank	0.04268106364904459	1e-300	1e-300	1e-300	0.038040573677944334	0.03623497885304558	1e-300	1e-300	0.037023522018069036	1e-300
Tool	0.04849136388371825	1e-300	5e-301	1e-300	1e-300	0.04105848553963169	1e-300	1e-300	0.042073881028880926	5e-301
Clothing items	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
SNS	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Office supplies	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Eating and drinking establishments/Mass eatery/Family restaurant/Coffee	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Electricity/water supply	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Supplement/Health food	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Securities	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Parts/Accessories	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
AirplaneFlight ticket	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
other	0.0	0.0	0.0	0.0	0.059610163172712984	1e-300	0.0	0.0	0.0	0.0
car	0.05759980933001603	1e-300	1e-300	1e-300	0.04945770678044606	0.04644850736247273	1e-300	1e-300	0.04775222982251134	1e-300
Human Resources Services/Employment/Career Change/Dispatch	1e-300	5e-301	5e-301	5e-301	1e-300	5e-301	5e-301	5e-301	1e-300	5e-301
Baby	0.04646828992821226	1e-300	1e-300	1e-300	0.04102029143600689	0.03892853079851072	1e-300	1e-300	0.03984013978103217	1e-300
Gambling	0.05134658326633185	1e-300	5e-301	1e-300	1e-300	0.04308716964608699	1e-300	1e-300	0.04420675268254402	5e-301
Living consumable materials	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Visual acuity/vision correction	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Jewelry	0.05616388754834257	1e-300	1e-300	1e-300	0.0483953026222566	0.0455102254893752	1e-300	1e-300	0.04676109908946297	1e-300
vocational school	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Corporate/service/BtoB	0.04709789906779049	1e-300	1e-300	1e-300	1e-300	5e-301	1e-300	1e-300	0.04030205346373646	1e-300
Fortunetelling	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
bag	0.04447383164510135	1e-300	1e-300	1e-300	0.03945822325480808	0.03751897367128684	1e-300	1e-300	0.038365043829883955	1e-300
Manga/animation	1e-300	5e-301	5e-301	5e-301	1e-300	1e-300	5e-301	5e-301	1e-300	5e-301
Esthetic	1e-300	5e-301	5e-301	5e-301	1e-300	5e-301	5e-301	5e-301	1e-300	5e-301
Learning private school/preparatory school	1e-300	5e-301	5e-301	5e-301	1e-300	5e-301	5e-301	5e-301	1e-300	5e-301
