product_ctgr_name	/Arts & Entertainment	/Computers & Electronics	/Finance	/Games	/Home & Garden	/Business & Industrial	/Internet & Telecom	/People & Society	/News	/Shopping	/Law & Government	/Sports	/Books & Literature	/Arts & Entertainment/Performing Arts	/Arts & Entertainment/Visual Art & Design	/Business & Industrial/Advertising & Marketing	/Business & Industrial/Business Services/Office Services	/Real Estate	/Computers & Electronics/Computer Hardware	/Computers & Electronics/Programming	/Computers & Electronics/Software	/Arts & Entertainment/Offbeat	/Arts & Entertainment/Movies	/Arts & Entertainment/Music & Audio	/Arts & Entertainment/TV & Video	/Finance/Banking	/Finance/Insurance	/Games/Card Games	/Games/Computer & Video Games	/Arts & Entertainment/Music & Audio/Jazz & Blues/Jazz
Portal site	0.06543021713429327	0.010391977023551846	9.384277098623597e-301	0.018333704857524526	0.02991679842936599	0.05724545387955674	0.007586930410446169	0.054552675136653184	0.08204270649519996	6.017480509760069e-301	0.053954169543786554	0.021901857427264294	0.05191814976433706	0.06411686934886696	0.04930754220203883	0.04078873738544519	0.05149823247805365	0.14474877450689663	0.011923112767483614	0.006235186214131108	0.04162947194856063	0.05608304325796566	0.05608304325796566	0.04977910377030392	0.03568920934597815	9.384277098623599e-301	1.2651540673850669e-300	0.022159713438125207	0.016631906035958953	0.034755877729875144
Skill up	0.06303092853143501	0.006849325330990581	9.500547080455436e-301	0.015306864800569461	0.024519626896391974	0.05767646627242969	0.004068992232168362	0.05649402758102436	0.08182047482937152	5.529421855144949e-301	0.05450736137749465	0.02185815035351976	0.05113682074164513	0.06191744300487985	0.04719099621005793	0.040995724810549576	0.05073670823348447	0.1213419438000956	0.007335103491504924	0.004109595198594349	0.03883973760466459	0.054026510169801444	0.054026510169801444	0.04795749790280982	0.03438050647169182	9.500547080455438e-301	1.2377294534293548e-300	0.019267512230511125	0.013494534914231129	0.033799796850908684
Marriage	0.05687970176431978	0.005943979871332428	9.260960451226193e-301	0.014814955632636627	0.02367974862023774	0.052936045100705695	0.004335150491534678	0.05138176623100353	0.07151650850528213	5.367814672929864e-301	0.04910562491807492	0.01908163048524424	0.044152825491991086	0.05608130134947173	0.04316405976366011	0.037669203848342145	0.04696476901486982	0.11012806270594225	0.006825156737469545	0.0035663879227994574	0.03260702960974011	0.048754030083702674	0.048754030083702674	0.043212522051093695	0.031025291871447154	9.260960451226192e-301	1.1811405439817628e-300	0.018424028180772985	0.012914032255214298	0.03002426558686581
PC	0.053765018015445164	0.01321273799494019	8.304627267327948e-301	0.015776654134504072	0.0244563208210279	0.04277231104468445	0.007969929582518544	0.03642506566969716	0.0715440464779455	5.7856595295620775e-301	0.04373314362713017	0.01922889084257574	0.05248084447160063	0.05234190326775017	0.03994143813030155	0.030605589195285204	0.03891944095085331	0.11150862353726679	0.014190594469294297	0.007927642796964113	0.04932537781985089	0.046084301156095867	0.046084301156095867	0.04138110403288279	0.029326373462970092	8.304627267327945e-301	1.2160466905929113e-300	0.018559715438517727	0.015227243533168955	0.029655095958716716
Diet	0.06329771927660056	0.014130630906028301	8.597744868584686e-301	0.01962583753800979	0.03412774191538751	0.05639686584818511	0.01032649194876192	0.05670074392922579	0.07757365054369253	6.1737900442687464e-301	0.05372840221630827	0.02115318220489354	0.05300950407773266	0.06170037179306096	0.04753025379342669	0.03995071440790684	0.05008709416012498	0.14525475982682964	0.016200520061470464	0.00847837854361698	0.04425197784787453	0.0542551879513719	0.0542551879513719	0.048341179352082334	0.03452602869632757	8.597744868584683e-301	1.1674152386768251e-300	0.022959705304664825	0.018448293259728042	0.03388016121577221
Software	0.0556991398835621	0.010227754484350269	8.858312895425524e-301	0.016491792499377673	0.02619725505170914	0.04725536517541949	0.0074685505370225376	0.04249482783170643	0.06859415561333103	5.778670083187141e-301	0.044126091737889006	0.018295463777316327	0.04284060643389067	0.05465623855037695	0.04230588987084429	0.03381132465049385	0.043302639385526066	0.13339305967607862	0.011732900997737118	0.0061366526906101605	0.03517082991981139	0.04774211990019609	0.04774211990019609	0.0423687243376975	0.030381349027397513	8.858312895425526e-301	1.2040803361263256e-300	0.01970911774222981	0.015149498639014655	0.029363870785008662
stocks	0.05728736896870726	0.012659074095177749	8.93971540338421e-301	0.016969280309338773	0.026631962826766473	0.048544079211375046	0.007868598411930123	0.04269942438756832	0.07093216792364214	6.006574911958889e-301	0.046328701315343494	0.019127108081794634	0.04740232897742546	0.05620636184315558	0.0434577275898149	0.03473467053512804	0.04435034973826626	0.12909771281081206	0.013738358472350594	0.007595444457106648	0.04177746468742503	0.049103459116034795	0.049103459116034795	0.04368320900561093	0.03124765580111305	8.939715403384212e-301	1.2255998097606163e-300	0.02024136890651337	0.016045664692018555	0.030429294630875722
Home games	0.05792380019393622	0.00699923090607728	9.384277098623597e-301	0.015568301548689273	0.02381498111020188	0.05106775593601395	0.005108624149009308	0.04631441707548276	0.07250393954739756	5.5862750001303e-301	0.047213566758165224	0.01919701754140618	0.0435423591520642	0.05711937989006279	0.04410057668113258	0.036539160963136696	0.046321826753321506	0.12180631825231503	0.0080322104186412	0.004199538543646368	0.03334011874589794	0.04964897159480247	0.04964897159480247	0.043980106318043916	0.03159480010578339	9.384277098623599e-301	1.225179930082774e-300	0.019211189405580826	0.013732072125272415	0.0304343999218427
Anti aging	0.05940453295663447	0.010789415141287069	9.578060401676662e-301	0.01770307761249874	0.028873516359999577	0.054981245370382584	0.007888485762798509	0.05165202138294793	0.06878496854202892	6.258107331163191e-301	0.05059792692080088	0.019193108880628397	0.045591452104850716	0.05850384341978489	0.04552640015282958	0.03911239935895726	0.04864385624967567	0.1374996742389025	0.012365500415607189	0.006473649084772242	0.03581503405664626	0.05091817110568669	0.05091817110568668	0.04514219631776922	0.03240247252180061	9.578060401676662e-301	1.2209190074072995e-300	0.021239277430751692	0.01622157851152481	0.031017442704108496
Government agencies/municipalities/public organizations	0.0710985283436348	0.002629610211372127	2.480420057057553e-300	0.01773697611179131	0.04082568909212888	0.1002822656527465	0.001903625151960101	0.09307093921111705	0.038738766900073295	1.2364173477706727e-300	0.0837676782404029	0.01824574112010856	0.0301091966058967	0.07188898002506898	0.0628730314776827	0.07138620704673465	0.08819838202488749	0.036327609351131405	0.0030364768804211242	0.0015777661268232758	0.011309047223819346	0.06094159572311552	0.060941595723115534	0.052276490280096184	0.03878101546016443	2.582946985530087e-300	1.640638743463634e-300	0.025331239065954872	0.014499683418844342	0.03108729518722481
News/Publications	0.08495879282259294	0.012274663926017273	3.1093518447014954e-300	0.01641968664449846	0.01896027099705002	0.06973485460491155	0.013580847928134411	0.026277379335832837	0.2225303195376966	1.5487559790376494e-300	0.05211245476725753	0.03740068558779057	0.06518370767825511	0.08240313990890526	0.06414882173991916	0.054428248902488194	0.06327420598060482	0.034059157484387585	0.010396947327640939	0.007364798355610363	0.03424574515301916	0.0728218224193654	0.0728218224193654	0.06353352810665032	0.04634115972141433	3.357123883881931e-300	2.5970310314173642e-300	0.023384978327367516	0.015531467490538211	0.041048870170115194
Hosting service	0.054864539726222364	0.007485383106293127	9.161926442279149e-301	0.01465682352420598	0.02312226312468297	0.049148153072298126	0.005089449176712491	0.04580033313758202	0.06955362655091403	5.578656034814657e-301	0.04633783787652704	0.018579855552053284	0.044465460125841245	0.05399530296400866	0.04154367449842572	0.03505648223847356	0.04401315518989067	0.11758582696194782	0.008365831916034685	0.004491229863775876	0.03523847802605672	0.04702674833676203	0.04702674833676203	0.041781517699044805	0.029926112577939472	9.161926442279149e-301	1.2257822768430194e-300	0.018028250878258663	0.013120086291796082	0.029160701927558718
Pharmaceuticals	0.06002602891975841	0.008592830750847368	9.22740490091397e-301	0.016149005713897407	0.025742874332419487	0.05264909792234362	0.005901166447047297	0.04941981813834261	0.07724706193531268	5.699485794444272e-301	0.04999849233869752	0.02042844015961591	0.04904106637887164	0.05893655765590807	0.045238413768778504	0.0375631447384214	0.04747450217969492	0.12395160047624003	0.009643236120563881	0.005155698450508421	0.03945474011628132	0.051450881931221486	0.05145088193122149	0.045718023577573506	0.032741470319868224	9.227404900913972e-301	1.2506652627144098e-300	0.019757274464423623	0.0145298253646724	0.03203032936758448
Vehicle trading	0.05393310696612708	0.0078030886042896146	8.874829523788856e-301	0.014677548206069639	0.02276985166356489	0.047871300497041726	0.005349121822883655	0.043926632608429605	0.0676171839887107	5.470285509647853e-301	0.045226969956361676	0.01827402421285641	0.04384937622584013	0.053026788931066667	0.04079417824657438	0.03415100722920494	0.042683591915610226	0.10927121299231664	0.008747301163403715	0.004681853162573768	0.03504332945215198	0.0462283773995375	0.0462283773995375	0.0410898684416759	0.029418058345160224	8.874829523788856e-301	1.1643077932256846e-300	0.017938552019870005	0.013204449719973917	0.02870748767297208
Other vehicles	0.05649463419895141	0.007851259400045057	9.007368641220755e-301	0.014972561120854632	0.02397989235093357	0.04996564742929207	0.005280413179494112	0.04736425518734571	0.07300094208713581	5.5212918194501885e-301	0.04762017478651329	0.01931288754428576	0.04677016671062346	0.05547070765434029	0.04252599936044087	0.03562016571496146	0.04488062859207896	0.11794324903494376	0.008747532992423286	0.0047107556400270345	0.03772771474487973	0.04842397217052978	0.04842397217052978	0.04304177746048865	0.03081525501760986	9.007368641220755e-301	1.2266656880575336e-300	0.01838665999327625	0.013446567894966868	0.03019764043336632
Hair Care	0.057052513888861935	0.010288046601543225	8.673738320762358e-301	0.016241261678959673	0.02682941291560055	0.05036455697773004	0.00685238690973675	0.04867010723445696	0.07326523098618831	5.582358248675788e-301	0.048405814297890176	0.019404874992700865	0.04872621288272968	0.05588918582407373	0.042950725444488365	0.03584692513318911	0.0454117148149434	0.11799193016133633	0.011435216795360786	0.006172827960925936	0.0409908161957664	0.048902154761881665	0.048902154761881665	0.04353525109513164	0.031119553030288332	8.673738320762358e-301	1.1958614530238402e-300	0.01951142534095949	0.014965572733799008	0.030551054406091443
Legal affairs/accounting/auditing	0.037728697131065504	-0.0015768850738951932	1.958166595131082e-300	0.008325989202882442	0.00360999843487207	0.03290475413510263	-0.0011569111833182627	0.013800079085767813	0.04005033756191256	0.007343553346053338	0.03799419689899338	0.009590397400593073	0.01885089956890169	0.03764428160043943	0.02206501560575343	0.02009429853977645	0.03055506039052783	0.018002715802042973	-0.001802473767210097	-0.0007630089067234806	0.015054786545171039	0.032338883255199	0.032338883255199	0.027770128264620886	0.020579289344217547	0.0021193204685319975	1.8410823972547113e-300	0.012147199586597376	0.006291152022722654	0.01637071172473238
Arts and Design	0.1971777136207692	0.019615140443653055	2.6620069066820828e-300	0.03127329403266905	0.02113700858439674	0.13415050501856418	0.02125528234647329	0.02288569539814108	0.06285614878453437	1.0910267339304638e-300	0.09557135065396989	0.028025248531076158	0.04175061117064606	0.20031291070397494	0.1843844178200572	0.07856410980173512	0.10784188218271347	0.038621375929129495	0.016966855655393513	0.009542500756371756	0.029373100341907214	0.16900946881780218	0.16900946881780218	0.12742767302994548	0.10755148015678322	1.74777392520911e-300	1.868959389262006e-300	0.0448585717649001	0.028875045294357193	0.06954678119796857
Hardware	0.055724701111227445	0.008076905190416803	8.719877202441657e-301	0.015461877873999845	0.02387623859302601	0.04721630352073326	0.005894120722875751	0.042691081236523154	0.07232578381816596	5.377276626219264e-301	0.04451970142836136	0.018992718006976484	0.044208154420527807	0.05467085484397378	0.04198991699495239	0.03378347232315227	0.04306943157992189	0.1130463743353356	0.009270169974579717	0.004846143114250081	0.03491098514838272	0.04776402952390924	0.04776402952390924	0.04250405628724132	0.03039529151521497	8.719877202441657e-301	1.1725758796138707e-300	0.018737664945966764	0.013879383727517765	0.02980762541079594
Entertainment	0.06142350777160629	0.008609097219335633	9.319682664272576e-301	0.01692546877935312	0.027437675144813455	0.055592789827928805	0.006283780122557757	0.05338325309483104	0.07610255332042087	5.745624676123575e-301	0.05179326148872316	0.020386877653548054	0.04775432593660038	0.06040198733897009	0.04657724277414116	0.0395877442589802	0.049720887749830404	0.1327170428090648	0.009879351577198197	0.00516545833160138	0.03698680222828501	0.05264872094709111	0.05264872094709111	0.04665461466522008	0.03350373151178525	9.319682664272575e-301	1.2281551230896016e-300	0.020663391377722263	0.01514338915934937	0.032385035107998394
