product_ctgr_name	/Arts & Entertainment	/Computers & Electronics	/Finance	/Games	/Home & Garden	/Business & Industrial	/Internet & Telecom	/People & Society	/News	/Shopping	/Law & Government	/Sports	/Books & Literature	/Arts & Entertainment/Performing Arts	/Arts & Entertainment/Visual Art & Design	/Business & Industrial/Advertising & Marketing	/Business & Industrial/Business Services/Office Services	/Real Estate	/Computers & Electronics/Computer Hardware	/Computers & Electronics/Programming	/Computers & Electronics/Software	/Arts & Entertainment/Offbeat	/Arts & Entertainment/Movies	/Arts & Entertainment/Music & Audio	/Arts & Entertainment/TV & Video	/Finance/Banking	/Finance/Insurance	/Games/Card Games	/Games/Computer & Video Games	/Arts & Entertainment/Music & Audio/Jazz & Blues/Jazz
Portal site	0.06735214112153444	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	0.050663626511884795	0.05399593304556027	-1.661371175401141e-301	0.0623664068880065	0.055772139550038576	9.837442414726003e-301	0.05914382042041882	9.837442414726003e-301	0.051216112560020864	0.06671521371703341	0.05887130183070156	0.05110825969819516	0.05540974567825233	0.08218070262933799	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	0.06671521371703341	0.06671521371703341	0.055668459777960595	4.4604043549113977e-300	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	3.6560301020220584e-300
Skill up	0.0657324562230122	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	-0.007822813492196464	0.051159176561966335	-1.661371175401141e-301	0.06017618548044112	0.052739340059500636	9.837442414726003e-301	0.06010710406247948	9.837442414726003e-301	0.050634948689780815	0.06448751198594345	0.055407691730947596	0.05074067201172095	0.05466189340228872	0.0759440546631725	-0.008026685662736656	9.965627007782795e-301	9.965627007782795e-301	0.0644096200162387	0.0644096200162387	0.05275090343376698	4.4604043549113977e-300	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	3.6560301020220584e-300
Marriage	0.057766078052503826	-1.661371175401141e-301	9.965627007782795e-301	9.965627007782795e-301	-0.007359361350423855	0.0537215310175995	-1.661371175401141e-301	0.05279152366724039	0.05428178045456398	9.837442414726003e-301	0.05204546700924417	9.837442414726003e-301	0.044122268877170155	0.057766078052503826	0.05095644638765235	0.045392298639097044	0.04996179507918468	0.06397360191175555	-0.006963168003173217	9.965627007782795e-301	9.965627007782795e-301	0.05569731424100658	0.05569731424100658	0.04687083194276524	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	3.499989853483983e-300
PC	0.05667746140363589	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	0.04689882999012874	0.04663356581369764	-1.661371175401141e-301	0.05218883084508922	0.049675316696797554	9.837442414726003e-301	0.05244531089273781	9.837442414726003e-301	0.04508623518231489	0.05667746140363589	0.05050515127507828	0.04471738183227075	0.047953802569688044	0.06623235028992194	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	0.05667746140363589	0.05667746140363589	0.04716814107318916	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	3.499989853483983e-300
Diet	0.06568141070867879	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	0.05103504742002152	0.054512014711853116	-1.661371175401141e-301	0.06206431216152087	0.05632290603831914	9.837442414726003e-301	0.05767214482927711	9.837442414726003e-301	0.0485068811310161	0.06402703165208502	0.06018238608605543	0.050104820682960426	0.05428716700937394	0.08580600968967339	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	0.0625048151476183	0.0625048151476183	0.05632290603831914	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	3.6560301020220584e-300
Software	0.0625048151476183	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	0.05345959408755587	-1.661371175401141e-301	0.05559603258734177	0.05442694294801722	9.837442414726003e-301	0.05341813466261828	9.837442414726003e-301	0.045765406797949354	0.06219055859948951	0.05408114336359416	0.04808020041727858	0.05345959408755587	0.08186126871140845	7.410127959308701e-301	9.965627007782795e-301	9.965627007782795e-301	0.06018238608605543	0.06018238608605543	0.0507707892007232	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301
stocks	0.06018238608605543	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	0.04689882999012874	0.05110825969819516	-1.661371175401141e-301	0.05657258708347312	0.052194176362309996	9.837442414726003e-301	0.0527581771516925	9.837442414726003e-301	0.04508623518231489	0.05933610408364123	0.05500476223942692	0.04808020041727858	0.051159176561966335	0.0759440546631725	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	0.05680790768559213	0.05680790768559213	0.052356788468541804	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	3.6560301020220584e-300
Home games	0.058037112870604195	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	-0.007091407277200761	0.05301377142510436	-1.661371175401141e-301	0.05344301132766805	0.05275090343376698	9.837442414726003e-301	0.053376086715451285	9.837442414726003e-301	0.043890053793776744	0.058037112870604195	0.05270665970854108	0.045392298639097044	0.05285088750913749	0.07600029492430928	-0.006906604059925308	9.965627007782795e-301	9.965627007782795e-301	0.0560294903817249	0.0560294903817249	0.049453088357846446	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	3.6560301020220584e-300
Anti aging	0.06219055859948951	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	0.04199020168505536	0.05301377142510436	-1.661371175401141e-301	0.05542760471791062	0.05442694294801722	9.837442414726003e-301	0.0571317736809584	9.837442414726003e-301	0.04788295302158781	0.06219055859948951	0.05348342297698565	0.04808020041727858	0.051842167363687214	0.08186126871140845	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	0.06145785874138869	0.06145785874138869	0.04984198967013925	4.4604043549113977e-300	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	3.6560301020220584e-300
Government agencies/municipalities/public organizations	0.02312255836603473	-1.661371175401141e-301	9.965627007782795e-301	9.965627007782795e-301	-1.661371175401141e-301	0.045231081556086294	-1.661371175401141e-301	6.11986682175259e-300	0.041829513738329833	2.0760639580954133e-301	6.11986682175259e-300	-8.306855877005705e-302	9.965627007782795e-301	0.046442415859364636	9.965627007782795e-301	5.943849508490878e-300	0.01892239278972675	0.05016780307350682	-1.661371175401141e-301	4.9828135038913974e-301	1.6607211642451283e-301	9.965627007782795e-301	5.006411921292689e-300	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	9.965627007782795e-301	4.9828135038913974e-301	9.965627007782795e-301
