product_ctgr_name	/Arts & Entertainment	/Computers & Electronics	/Finance	/Games	/Home & Garden	/Business & Industrial	/Internet & Telecom	/People & Society	/News	/Shopping
Portal site	-1.6613711754011288e-301	-8.306855877005644e-302	-8.306855877005644e-302	-1.6613711754011288e-301	-1.6613711754011288e-301	-1.6613711754011288e-301	3.9136894583206025e-300	-1.6613711754011288e-301	-1.6613711754011288e-301	-8.306855877005644e-302
Skill up	-0.007841980715473618	-0.006952570567788757	0.0	-0.00789023004467465	-0.007887899790808554	0.0	-0.0067663578553620795	0.0	9.965627007782908e-301	-1.6613711754011288e-301
Marriage	-0.008226561434817115	-0.007253190578907225	9.965627007782908e-301	-0.008279675249330154	-0.008277109323011483	0.03949241510669345	-0.0070507609689466465	9.965627007782908e-301	0.040434257570550566	-1.6613711754011288e-301
PC	-1.6613711754011288e-301	-8.306855877005644e-302	-8.306855877005644e-302	-1.6613711754011288e-301	-1.6613711754011288e-301	-1.6613711754011288e-301	3.9136894583206025e-300	-1.6613711754011288e-301	-1.6613711754011288e-301	-8.306855877005644e-302
Diet	-1.6613711754011288e-301	-1.6613711754011288e-301	-8.306855877005644e-302	-1.6613711754011288e-301	-1.6613711754011288e-301	-1.6613711754011288e-301	-1.6613711754011288e-301	-1.6613711754011288e-301	-1.6613711754011288e-301	-8.306855877005644e-302
Software	-0.011033444571917394	-0.009350476866542359	9.965627007782908e-301	-0.01112919722158275	-0.01112456169650785	0.04994409181868724	-0.009016748832407393	9.965627007782908e-301	0.05145998599541553	-1.6613711754011288e-301
stocks	-0.013082084717291723	-0.010781286863655004	-1.6613711754011288e-301	-0.013216913573931736	-0.013210376288831852	-0.011174476478790302	-0.010340020367950419	-0.011948475409351938	-0.009568878650202282	-1.6613711754011288e-301
Home games	-1.6613711754011288e-301	-1.6613711754011288e-301	2.503205960646344e-300	-1.6613711754011288e-301	-1.6613711754011288e-301	9.965627007782908e-301	-1.6613711754011288e-301	4.982813503891454e-301	9.965627007782908e-301	-8.306855877005644e-302
Anti aging	-0.00859000497121298	-1.6613711754011288e-301	-1.6613711754011288e-301	-0.008419393628144856	-0.008499352823846477	-0.008678187364230601	4.918721207363016e-301	-0.009137888478814991	-0.007677705926407861	-1.6613711754011288e-301
Government agencies/municipalities/public organizations	-0.013891272348775395	-0.011095558171588206	-1.6613711754011288e-301	-0.013692350641978754	-0.013685334705911725	-0.014123353189199056	-0.01062874809029829	-0.015382781248331916	-0.011652225251352628	-1.6613711754011288e-301
News/Publications	-0.010291371259694829	-0.007927454864565161	-1.6613711754011288e-301	-0.010047442807195798	-0.010161524552898258	-0.010418202276280432	-0.00768626551918995	-0.011087840828708928	-0.009008874920436885	-1.6613711754011288e-301
Hosting service	-0.01017454320658746	-0.008726201427399369	-1.6613711754011288e-301	-0.010255913354948699	-0.010251976638470854	-0.008678187364230601	-0.008434853628080894	-0.009137888478814991	-0.007677705926407861	-1.6613711754011288e-301
Pharmaceuticals	-1.6613711754011288e-301	-8.306855877005644e-302	-8.306855877005644e-302	-1.6613711754011288e-301	-1.6613711754011288e-301	-1.6613711754011288e-301	4.918721207363016e-301	-1.6613711754011288e-301	-1.6613711754011288e-301	-8.306855877005644e-302
Vehicle trading	-0.012319084465094448	-1.6613711754011288e-301	-1.6613711754011288e-301	-0.011971188513466145	-0.01213349085353346	-0.012501260685268866	-1.6613711754011288e-301	-0.013478003092712517	-0.01052545883431012	-1.6613711754011288e-301
Other vehicles	-0.012319084465094448	-1.6613711754011288e-301	-1.6613711754011288e-301	-0.011971188513466145	-0.01213349085353346	-0.012501260685268866	4.918721207363016e-301	-0.013478003092712517	-0.01052545883431012	-1.6613711754011288e-301
Hair Care	-1.6613711754011288e-301	-1.6613711754011288e-301	2.503205960646344e-300	-1.6613711754011288e-301	-1.6613711754011288e-301	9.965627007782908e-301	-1.6613711754011288e-301	4.982813503891454e-301	9.965627007782908e-301	-8.306855877005644e-302
Legal affairs/accounting/auditing	-0.010468276416809297	-0.008941376808374916	0.0	-0.010554432493176042	-0.010550263315799282	0.0	-0.008635735066952246	0.0	9.965627007782908e-301	-1.6613711754011288e-301
Arts and Design	-0.011298083623870388	-0.009539847762492679	-1.6613711754011288e-301	-0.01139850554934524	-0.011393643014684287	-0.010546832309535294	-0.009192716083222193	-0.01123365360074529	-0.009104897456458563	-1.6613711754011288e-301
Hardware	-0.009281203092884842	-1.6613711754011288e-301	-1.6613711754011288e-301	-0.009082348282961259	-0.009175465070074223	-0.009384232806341288	1.6720667975027652e-300	-0.009924104796486016	-0.00822520455952358	-1.6613711754011288e-301
Entertainment	-0.010416869613603531	-0.008903845801548379	5.006411921292688e-300	-0.010502178142579845	-0.010498050137620972	0.04780863853087584	-0.008600721016073329	9.965627007782908e-301	0.04919587391121418	-1.6613711754011288e-301
sightseeing/spot/name/trace	-0.012377730359799638	-0.010056225527148884	-1.6613711754011288e-301	-0.012143554533364758	-0.0121903789153889	-0.01256165818336221	-0.009671255583946615	-0.013548233695606399	-0.010568240915512788	-1.6613711754011288e-301
Hotels	-0.00934818180768727	-1.6613711754011288e-301	-1.6613711754011288e-301	-0.009146477718357152	-0.009240920959057127	-0.009452712308991652	5.875367612152108e-300	-0.010000722317145926	-0.008277765753708581	-1.6613711754011288e-301
food	-0.014734690335970711	-0.008551163229913806	-1.6613711754011288e-301	-0.014239723344925957	-0.014469957931254506	-0.014996073748266933	-0.008271198951558468	-0.01642382502747559	-0.012239913546869412	-1.6613711754011288e-301
Consumer finance	-0.009502978606986906	-1.6613711754011288e-301	-1.6613711754011288e-301	-0.009294613609995084	-0.009392157132458665	-0.009611019622621522	-1.6613711754011288e-301	-0.010178089267627992	-0.008398912361203754	-1.6613711754011288e-301
Cruise	-1.6613711754011288e-301	-1.6613711754011288e-301	0.0	-1.6613711754011288e-301	-1.6613711754011288e-301	9.965627007782908e-301	-1.6613711754011288e-301	0.0	9.965627007782908e-301	-8.306855877005644e-302
Maternity	-0.01075358428736963	-0.009148700598433692	4.982813503891454e-301	-0.010844521044666624	-0.010840119585915261	9.965627007782908e-301	-0.008828974111175454	4.982813503891454e-301	9.965627007782908e-301	-1.6613711754011288e-301
Skin Care	-1.6613711754011288e-301	-1.6613711754011288e-301	2.503205960646344e-300	-1.6613711754011288e-301	-1.6613711754011288e-301	9.965627007782908e-301	-1.6613711754011288e-301	4.982813503891454e-301	9.965627007782908e-301	-8.306855877005644e-302
Construction and construction	-0.01446348749548721	-0.007171509728039945	-1.6613711754011288e-301	-0.013986278237634651	-0.01420832621834893	-0.014715255344534313	-0.0069735514979972464	-0.016087588072969308	-0.0120521875463083	-1.6613711754011288e-301
Furniture/Interior	-0.011132214255833618	-0.008809513320189838	-1.6613711754011288e-301	-0.010847349409666883	-0.010980439307004555	-0.011280766635801446	-0.008512670401679115	-0.012070079977471799	-0.009646712340704867	-1.6613711754011288e-301
Antique items	-0.009348995225103404	-0.008111862183680993	-1.6613711754011288e-301	-0.009417652003472915	-0.009414332414184793	-0.008976391442865207	-0.007859499908207085	-0.00946912520706058	-0.007910194387848422	-1.6613711754011288e-301
Food Stores/Izakaya/Renting/Nightclub	-0.014734690335970711	-0.008551163229913806	-1.6613711754011288e-301	-0.014239723344925957	-0.014469957931254506	-0.014996073748266933	-0.008271198951558468	-0.01642382502747559	-0.012239913546869412	-1.6613711754011288e-301
drugs	-0.012211444174237925	-1.6613711754011288e-301	-1.6613711754011288e-301	-0.011869516900320096	-0.012029055701265506	-0.012390427578693545	9.837442414726032e-301	-0.01334926346248498	-0.010446780904373532	-1.6613711754011288e-301
Gardening	-1.6613711754011288e-301	-1.6613711754011288e-301	0.0	-1.6613711754011288e-301	-1.6613711754011288e-301	9.965627007782908e-301	-1.6613711754011288e-301	0.0	9.965627007782908e-301	-8.306855877005644e-302
Domain	-0.012815020057029024	-0.010599247293112998	-1.6613711754011288e-301	-0.012944372951704992	-0.012938102428355516	-0.012149185845912442	-0.01017246142134821	-0.013069661248592723	-0.01027476314909939	-1.6613711754011288e-301
Real Estate/Used/Others	-0.010742323796034327	-0.009140549097937713	0.0	-0.010833069402741799	-0.010828677232940932	0.0	-0.008821382171660506	0.0	0.05039802379812522	-1.6613711754011288e-301
Resort	-0.007750045735276931	-0.006880210678450839	-8.306855877005644e-302	-0.007797167000819085	-0.007794891384229673	-1.6613711754011288e-301	-0.006697803021093052	-1.6613711754011288e-301	-1.6613711754011288e-301	-1.6613711754011288e-301
Religion	-0.009864569523650066	-0.008497202747134827	9.965627007782908e-301	-0.009941038581890523	-0.009937339839467181	9.965627007782908e-301	-0.008220703518401472	4.982813503891454e-301	9.965627007782908e-301	-1.6613711754011288e-301
