product_ctgr_name	/Arts & Entertainment	/Computers & Electronics	/Finance	/Games	/Home & Garden	/Business & Industrial	/Internet & Telecom	/People & Society	/News	/Shopping	/Law & Government	/Sports	/Books & Literature	/Arts & Entertainment/Performing Arts	/Arts & Entertainment/Visual Art & Design	/Business & Industrial/Advertising & Marketing	/Business & Industrial/Business Services/Office Services	/Real Estate	/Computers & Electronics/Computer Hardware	/Computers & Electronics/Programming	/Computers & Electronics/Software	/Arts & Entertainment/Offbeat	/Arts & Entertainment/Movies	/Arts & Entertainment/Music & Audio	/Arts & Entertainment/TV & Video	/Finance/Banking	/Finance/Insurance	/Games/Card Games	/Games/Computer & Video Games	/Arts & Entertainment/Music & Audio/Jazz & Blues/Jazz
Portal site	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Skill up	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Marriage	0.07142857142857142	0.058823529411764705	0.06666666666666667	0.07692307692307693	0.0625	0	0.058823529411764705	0.09090909090909091	0.08333333333333333	0.0625	0.07692307692307693	0.07142857142857142	0.058823529411764705	0.06666666666666667	0	0	0	0.08333333333333333	0.058823529411764705	0.058823529411764705	0.058823529411764705	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.058823529411764705	0.06666666666666667	0.06666666666666667	0.07142857142857142	0.0625	0.07142857142857142
PC	0.07692307692307693	0.0625	0.07142857142857142	0.08333333333333333	0.0625	0	0.058823529411764705	0.1	0.09090909090909091	0.06666666666666667	0.08333333333333333	0.07692307692307693	0.058823529411764705	0.07142857142857142	0	0	0	0.09090909090909091	0.0625	0.0625	0.0625	0.07692307692307693	0.07692307692307693	0.07692307692307693	0.058823529411764705	0.07142857142857142	0.07142857142857142	0.07692307692307693	0.0625	0.07692307692307693
Diet	0.0625	0.05263157894736842	0.058823529411764705	0.06666666666666667	0.0625	0	0.058823529411764705	0.07692307692307693	0.07142857142857142	0.05555555555555555	0.06666666666666667	0.0625	0.058823529411764705	0.058823529411764705	0	0	0	0.07142857142857142	0.05263157894736842	0.05263157894736842	0.05263157894736842	0.0625	0.0625	0.0625	0.058823529411764705	0.058823529411764705	0.058823529411764705	0.0625	0.058823529411764705	0.0625
Software	0.0625	0.05263157894736842	0.058823529411764705	0.06666666666666667	0.0625	0	0.058823529411764705	0.07692307692307693	0.07142857142857142	0.05555555555555555	0.06666666666666667	0.0625	0.058823529411764705	0.058823529411764705	0	0	0	0.08333333333333333	0.05263157894736842	0.05263157894736842	0.05263157894736842	0.0625	0.0625	0.0625	0.058823529411764705	0.058823529411764705	0.058823529411764705	0.0625	0.058823529411764705	0.0625
stocks	0.0625	0.05263157894736842	0.058823529411764705	0.06666666666666667	0.0625	0	0.058823529411764705	0.07692307692307693	0.07142857142857142	0.05555555555555555	0.06666666666666667	0.0625	0.058823529411764705	0.058823529411764705	0	0	0	0.08333333333333333	0.05263157894736842	0.05263157894736842	0.05263157894736842	0.0625	0.0625	0.0625	0.058823529411764705	0.058823529411764705	0.058823529411764705	0.0625	0.058823529411764705	0.0625
Home games	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anti aging	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Government agencies/municipalities/public organizations	0.06666666666666667	0.05555555555555555	0.0625	0.07142857142857142	0.0625	0	0.058823529411764705	0.08333333333333333	0.07692307692307693	0.058823529411764705	0.07142857142857142	0.06666666666666667	0.058823529411764705	0.0625	0	0	0	0.07692307692307693	0.05555555555555555	0.05555555555555555	0.05555555555555555	0.06666666666666667	0.06666666666666667	0.06666666666666667	0.058823529411764705	0.0625	0.0625	0.06666666666666667	0.0625	0.06666666666666667
News/Publications	0.0625	0.05263157894736842	0.058823529411764705	0.06666666666666667	0.07142857142857142	0	0.06666666666666667	0.07692307692307693	0.07142857142857142	0.05555555555555555	0.06666666666666667	0.0625	0.06666666666666667	0.058823529411764705	0	0	0	0.07142857142857142	0.05263157894736842	0.05263157894736842	0.05263157894736842	0.0625	0.0625	0.0625	0.0625	0.058823529411764705	0.058823529411764705	0.0625	0.058823529411764705	0.0625
Hosting service	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
