product_ctgr_name	/Arts & Entertainment	/Computers & Electronics	/Finance	/Games	/Home & Garden	/Business & Industrial	/Internet & Telecom	/People & Society	/News	/Shopping
Portal site	0.05555555555555555	0.047619047619047616	0.047619047619047616	0.05	0.058823529411764705	0.047619047619047616	0.1	0.05263157894736842	0.05555555555555555	0.05
Skill up	0.08333333333333333	0.07142857142857142	0.1	0.07142857142857142	0.0	0.0	0.06666666666666667	0.08333333333333333	0.1	0.08333333333333333
Marriage	0.0625	0.05555555555555555	0.0625	0.05555555555555555	0.05	0.0625	0.05263157894736842	0.0625	0.07142857142857142	0.0625
PC	0.05555555555555555	0.047619047619047616	0.047619047619047616	0.05	0.058823529411764705	0.047619047619047616	0.1	0.05263157894736842	0.05555555555555555	0.05
Diet	0.058823529411764705	0.05263157894736842	0.058823529411764705	0.05263157894736842	0.047619047619047616	0.058823529411764705	0.05	0.058823529411764705	0.06666666666666667	0.058823529411764705
Software	0.07142857142857142	0.0625	0.0625	0.0625	0.05555555555555555	0.0625	0.058823529411764705	0.07142857142857142	0.07692307692307693	0.06666666666666667
stocks	0.05263157894736842	0.045454545454545456	0.045454545454545456	0.047619047619047616	0.045454545454545456	0.045454545454545456	0.047619047619047616	0.05	0.05263157894736842	0.047619047619047616
Home games	0.07142857142857142	0.0625	0.07142857142857142	0.0625	0.05555555555555555	0.08333333333333333	0.058823529411764705	0.07142857142857142	0.08333333333333333	0.07142857142857142
Anti aging	0.08333333333333333	0.06666666666666667	0.06666666666666667	0.07142857142857142	0.0	0.0	0.08333333333333333	0.07692307692307693	0.08333333333333333	0.07142857142857142
Government agencies/municipalities/public organizations	0.0625	0.05555555555555555	0.05555555555555555	0.05555555555555555	0.0	0.0	0.05263157894736842	0.0625	0.06666666666666667	0.058823529411764705
News/Publications	0.0625	0.05263157894736842	0.05263157894736842	0.05555555555555555	0.05	0.05263157894736842	0.05263157894736842	0.058823529411764705	0.0625	0.05555555555555555
Hosting service	0.05555555555555555	0.05	0.05263157894736842	0.05	0.045454545454545456	0.05263157894736842	0.047619047619047616	0.05555555555555555	0.0625	0.05555555555555555
Pharmaceuticals	0.07142857142857142	0.058823529411764705	0.058823529411764705	0.0625	0.06666666666666667	0.058823529411764705	0.07142857142857142	0.06666666666666667	0.07142857142857142	0.0625
Vehicle trading	0.06666666666666667	0.05555555555555555	0.05555555555555555	0.058823529411764705	0.05555555555555555	0.05555555555555555	0.058823529411764705	0.0625	0.06666666666666667	0.058823529411764705
Other vehicles	0.06666666666666667	0.05555555555555555	0.05555555555555555	0.058823529411764705	0.0	0.0	0.08333333333333333	0.0625	0.06666666666666667	0.058823529411764705
Hair Care	0.06666666666666667	0.058823529411764705	0.06666666666666667	0.058823529411764705	0.05263157894736842	0.07692307692307693	0.05555555555555555	0.06666666666666667	0.07692307692307693	0.06666666666666667
Legal affairs/accounting/auditing	0.058823529411764705	0.05263157894736842	0.05263157894736842	0.05263157894736842	0.0	0.0	0.05	0.058823529411764705	0.0625	0.05555555555555555
Arts and Design	0.058823529411764705	0.05	0.05	0.05263157894736842	0.05263157894736842	0.05	0.05555555555555555	0.05555555555555555	0.058823529411764705	0.05263157894736842
Hardware	0.06666666666666667	0.05555555555555555	0.05555555555555555	0.058823529411764705	0.07142857142857142	0.05555555555555555	0.09090909090909091	0.0625	0.06666666666666667	0.058823529411764705
Entertainment	0.07142857142857142	0.0625	0.07142857142857142	0.0625	0.05555555555555555	0.08333333333333333	0.058823529411764705	0.07142857142857142	0.08333333333333333	0.07142857142857142
sightseeing/spot/name/trace	0.058823529411764705	0.05	0.05	0.05263157894736842	0.05	0.05	0.05263157894736842	0.05555555555555555	0.058823529411764705	0.05263157894736842
Hotels	0.06666666666666667	0.05555555555555555	0.05555555555555555	0.058823529411764705	0.07142857142857142	0.05555555555555555	0.1111111111111111	0.0625	0.06666666666666667	0.058823529411764705
food	0.08333333333333333	0.06666666666666667	0.06666666666666667	0.07142857142857142	0.0625	0.06666666666666667	0.06666666666666667	0.07692307692307693	0.08333333333333333	0.07142857142857142
Consumer finance	0.058823529411764705	0.05263157894736842	0.0625	0.05263157894736842	0.047619047619047616	0.058823529411764705	0.05	0.058823529411764705	0.06666666666666667	0.058823529411764705
Cruise	0.05555555555555555	0.05	0.05555555555555555	0.05	0.045454545454545456	0.0625	0.047619047619047616	0.05555555555555555	0.0625	0.05555555555555555
Maternity	0.07692307692307693	0.06666666666666667	0.06666666666666667	0.06666666666666667	0.058823529411764705	0.06666666666666667	0.0625	0.07692307692307693	0.08333333333333333	0.07142857142857142
Skin Care	0.06666666666666667	0.058823529411764705	0.06666666666666667	0.058823529411764705	0.05263157894736842	0.07692307692307693	0.05555555555555555	0.06666666666666667	0.07692307692307693	0.06666666666666667
Construction and construction	0.0625	0.05555555555555555	0.0625	0.05555555555555555	0.05	0.0625	0.05263157894736842	0.0625	0.07142857142857142	0.0625
Furniture/Interior	0.05263157894736842	0.047619047619047616	0.047619047619047616	0.047619047619047616	0.0	0.0	0.045454545454545456	0.058823529411764705	0.05555555555555555	0.05
Antique items	0.06666666666666667	0.05555555555555555	0.05555555555555555	0.058823529411764705	0.058823529411764705	0.05555555555555555	0.0625	0.0625	0.06666666666666667	0.058823529411764705
Food Stores/Izakaya/Renting/Nightclub	0.05555555555555555	0.05	0.05	0.05	0.045454545454545456	0.05	0.047619047619047616	0.05555555555555555	0.058823529411764705	0.05263157894736842
drugs	0.08333333333333333	0.06666666666666667	0.06666666666666667	0.07142857142857142	0.07692307692307693	0.06666666666666667	0.08333333333333333	0.07692307692307693	0.08333333333333333	0.07142857142857142
Gardening	0.05263157894736842	0.047619047619047616	0.05263157894736842	0.047619047619047616	0.043478260869565216	0.058823529411764705	0.045454545454545456	0.05263157894736842	0.058823529411764705	0.05263157894736842
Domain	0.07692307692307693	0.0625	0.0625	0.06666666666666667	0.058823529411764705	0.0625	0.0625	0.07142857142857142	0.07692307692307693	0.06666666666666667
Real Estate/Used/Others	0.08333333333333333	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.0	0.0	0.06666666666666667	0.08333333333333333	0.09090909090909091	0.07692307692307693
Resort	0.0625	0.05263157894736842	0.05263157894736842	0.05555555555555555	0.05555555555555555	0.05263157894736842	0.058823529411764705	0.058823529411764705	0.0625	0.05555555555555555
Religion	0.07692307692307693	0.06666666666666667	0.06666666666666667	0.06666666666666667	0.058823529411764705	0.06666666666666667	0.0625	0.07692307692307693	0.08333333333333333	0.07142857142857142
Cosmetic surgery	0.058823529411764705	0.05263157894736842	0.058823529411764705	0.05263157894736842	0.047619047619047616	0.06666666666666667	0.05	0.058823529411764705	0.06666666666666667	0.058823529411764705
movies	0.1	0.07692307692307693	0.07692307692307693	0.08333333333333333	0.07692307692307693	0.09090909090909091	0.1111111111111111	0.07692307692307693	0.09090909090909091	0.1
sports	0.07142857142857142	0.058823529411764705	0.058823529411764705	0.0625	0.05555555555555555	0.058823529411764705	0.058823529411764705	0.06666666666666667	0.07142857142857142	0.0625
Network equipment	0.06666666666666667	0.05555555555555555	0.05555555555555555	0.058823529411764705	0.06666666666666667	0.05555555555555555	0.07142857142857142	0.0625	0.06666666666666667	0.058823529411764705
travel	0.06666666666666667	0.058823529411764705	0.06666666666666667	0.058823529411764705	0.05263157894736842	0.07692307692307693	0.05555555555555555	0.06666666666666667	0.07692307692307693	0.06666666666666667
comparison site	0.058823529411764705	0.05	0.05	0.05263157894736842	0.05	0.05	0.05263157894736842	0.05555555555555555	0.058823529411764705	0.05263157894736842
encounter	0.0625	0.05555555555555555	0.0625	0.05555555555555555	0.05	0.07142857142857142	0.05263157894736842	0.0625	0.07142857142857142	0.0625
Home appliances	0.058823529411764705	0.05	0.05	0.05263157894736842	0.0625	0.05	0.09090909090909091	0.05555555555555555	0.058823529411764705	0.05263157894736842
Toy store	0.05555555555555555	0.05	0.05	0.05	0.045454545454545456	0.05	0.047619047619047616	0.05555555555555555	0.058823529411764705	0.05263157894736842
funeral service	0.05555555555555555	0.05	0.05263157894736842	0.05	0.045454545454545456	0.05263157894736842	0.047619047619047616	0.05555555555555555	0.0625	0.05555555555555555
games	0.0625	0.05263157894736842	0.05263157894736842	0.05555555555555555	0.05	0.05263157894736842	0.05263157894736842	0.058823529411764705	0.0625	0.05555555555555555
finance	0.058823529411764705	0.05263157894736842	0.06666666666666667	0.05263157894736842	0.047619047619047616	0.058823529411764705	0.05	0.058823529411764705	0.06666666666666667	0.058823529411764705
Sports equipment	0.06666666666666667	0.05555555555555555	0.05555555555555555	0.058823529411764705	0.07142857142857142	0.05555555555555555	0.14285714285714285	0.0625	0.06666666666666667	0.058823529411764705
Internet Service Provider	0.05555555555555555	0.05	0.05	0.05	0.045454545454545456	0.05	0.047619047619047616	0.05555555555555555	0.058823529411764705	0.05263157894736842
Seasoning/Preserved food/Food accessories	0.0625	0.05263157894736842	0.05263157894736842	0.05555555555555555	0.0	0.0	0.05555555555555555	0.058823529411764705	0.0625	0.05555555555555555
offices	0.0625	0.05263157894736842	0.05263157894736842	0.05555555555555555	0.05	0.05263157894736842	0.05263157894736842	0.058823529411764705	0.0625	0.05555555555555555
Hiring jobs	0.05263157894736842	0.047619047619047616	0.05263157894736842	0.047619047619047616	0.043478260869565216	0.05263157894736842	0.045454545454545456	0.05263157894736842	0.058823529411764705	0.05263157894736842
Real estate/sale	0.06666666666666667	0.058823529411764705	0.058823529411764705	0.058823529411764705	0.05263157894736842	0.058823529411764705	0.05555555555555555	0.06666666666666667	0.07142857142857142	0.0625
School/educational institution/education service	0.05263157894736842	0.047619047619047616	0.047619047619047616	0.047619047619047616	0.043478260869565216	0.047619047619047616	0.045454545454545456	0.05555555555555555	0.05555555555555555	0.05
Renovation	0.0625	0.05555555555555555	0.0625	0.05555555555555555	0.05	0.06666666666666667	0.05263157894736842	0.0625	0.07142857142857142	0.0625
Photos/videos	0.058823529411764705	0.05	0.05	0.05263157894736842	0.0625	0.05	0.07142857142857142	0.05555555555555555	0.058823529411764705	0.05263157894736842
shoes	0.058823529411764705	0.05	0.05	0.05263157894736842	0.058823529411764705	0.05	0.0625	0.05555555555555555	0.058823529411764705	0.05263157894736842
Insurance	0.06666666666666667	0.058823529411764705	0.058823529411764705	0.058823529411764705	0.05263157894736842	0.058823529411764705	0.05555555555555555	0.06666666666666667	0.07142857142857142	0.0625
investment	0.0625	0.05263157894736842	0.05263157894736842	0.05555555555555555	0.05	0.05263157894736842	0.05263157894736842	0.058823529411764705	0.0625	0.05555555555555555
Detective	0.0625	0.05263157894736842	0.05263157894736842	0.05555555555555555	0.0625	0.05263157894736842	0.06666666666666667	0.058823529411764705	0.0625	0.05555555555555555
Books	0.058823529411764705	0.05	0.05	0.05263157894736842	0.058823529411764705	0.05	0.0625	0.05555555555555555	0.058823529411764705	0.05263157894736842
Entertainment facilities	0.06666666666666667	0.058823529411764705	0.0625	0.058823529411764705	0.05263157894736842	0.0625	0.05555555555555555	0.06666666666666667	0.07692307692307693	0.06666666666666667
Construction materials	0.0625	0.05555555555555555	0.05555555555555555	0.05555555555555555	0.05	0.05555555555555555	0.05263157894736842	0.0625	0.06666666666666667	0.058823529411764705
phone	0.05555555555555555	0.047619047619047616	0.047619047619047616	0.05	0.058823529411764705	0.047619047619047616	0.06666666666666667	0.05263157894736842	0.05555555555555555	0.05
Music	0.0625	0.05555555555555555	0.07142857142857142	0.05555555555555555	0.05	0.0625	0.05263157894736842	0.0625	0.07142857142857142	0.0625
Shopping center/Commercial facilities/Factory	0.058823529411764705	0.05	0.05	0.05263157894736842	0.0	0.0	0.05555555555555555	0.05555555555555555	0.058823529411764705	0.05263157894736842
fortune telling	0.058823529411764705	0.05263157894736842	0.06666666666666667	0.05263157894736842	0.047619047619047616	0.058823529411764705	0.05	0.058823529411764705	0.06666666666666667	0.058823529411764705
Learning materials	0.06666666666666667	0.05555555555555555	0.05555555555555555	0.058823529411764705	0.058823529411764705	0.05555555555555555	0.0625	0.0625	0.06666666666666667	0.058823529411764705
Care Center	0.058823529411764705	0.05	0.05	0.05263157894736842	0.0	0.0	0.05	0.05555555555555555	0.058823529411764705	0.05263157894736842
Make-Cosmetics	0.05263157894736842	0.047619047619047616	0.05263157894736842	0.047619047619047616	0.043478260869565216	0.05555555555555555	0.045454545454545456	0.05263157894736842	0.058823529411764705	0.05263157894736842
Credit card	0.07142857142857142	0.0625	0.0625	0.0625	0.05555555555555555	0.0625	0.058823529411764705	0.07142857142857142	0.07692307692307693	0.06666666666666667
Language/studies/study/abroad	0.0625	0.05263157894736842	0.05263157894736842	0.05555555555555555	0.0	0.05263157894736842	0.05263157894736842	0.058823529411764705	0.0625	0.05555555555555555
Internet	0.058823529411764705	0.05	0.05	0.05263157894736842	0.0625	0.05	0.14285714285714285	0.05555555555555555	0.058823529411764705	0.05263157894736842
points/Sweepstakes	0.058823529411764705	0.05	0.05	0.05263157894736842	0.05	0.05	0.05263157894736842	0.05555555555555555	0.058823529411764705	0.05263157894736842
Manga/animation/youth	0.058823529411764705	0.05263157894736842	0.058823529411764705	0.05263157894736842	0.047619047619047616	0.0625	0.05	0.058823529411764705	0.06666666666666667	0.058823529411764705
Junior College/University	0.06666666666666667	0.05555555555555555	0.05555555555555555	0.058823529411764705	0.05263157894736842	0.05555555555555555	0.05555555555555555	0.0625	0.06666666666666667	0.058823529411764705
TV Shows	0.07142857142857142	0.0625	0.07142857142857142	0.0625	0.05555555555555555	0.08333333333333333	0.058823529411764705	0.07142857142857142	0.08333333333333333	0.07142857142857142
Hospital/Clinic	0.0625	0.05263157894736842	0.05263157894736842	0.05555555555555555	0.05263157894736842	0.05263157894736842	0.05555555555555555	0.058823529411764705	0.0625	0.05555555555555555
Sunburn/Sun care	0.05263157894736842	0.045454545454545456	0.045454545454545456	0.047619047619047616	0.045454545454545456	0.045454545454545456	0.047619047619047616	0.05	0.05263157894736842	0.047619047619047616
pets	0.0625	0.05555555555555555	0.05555555555555555	0.05555555555555555	0.05	0.05555555555555555	0.05263157894736842	0.0625	0.06666666666666667	0.058823529411764705
Mobile phone	0.05555555555555555	0.047619047619047616	0.047619047619047616	0.05	0.058823529411764705	0.047619047619047616	0.1	0.05263157894736842	0.05555555555555555	0.05
online game	0.0625	0.05263157894736842	0.05263157894736842	0.05555555555555555	0.0	0.0	0.05263157894736842	0.058823529411764705	0.0625	0.05555555555555555
Fitness/Gym	0.06666666666666667	0.05555555555555555	0.05555555555555555	0.058823529411764705	0.05263157894736842	0.05555555555555555	0.05555555555555555	0.0625	0.06666666666666667	0.058823529411764705
Real Estate/Rent	0.05555555555555555	0.05	0.05	0.05	0.045454545454545456	0.05	0.047619047619047616	0.05555555555555555	0.058823529411764705	0.05263157894736842
Toys	0.058823529411764705	0.05	0.05	0.05263157894736842	0.0625	0.05	0.07692307692307693	0.05555555555555555	0.058823529411764705	0.05263157894736842
Bank	0.05263157894736842	0.047619047619047616	0.047619047619047616	0.047619047619047616	0.043478260869565216	0.047619047619047616	0.045454545454545456	0.05263157894736842	0.05555555555555555	0.05
Tool	0.0625	0.05263157894736842	0.05263157894736842	0.05555555555555555	0.05555555555555555	0.05263157894736842	0.058823529411764705	0.058823529411764705	0.0625	0.05555555555555555
Clothing items	0.07142857142857142	0.058823529411764705	0.058823529411764705	0.0625	0.058823529411764705	0.058823529411764705	0.0625	0.06666666666666667	0.07142857142857142	0.0625
SNS	0.07692307692307693	0.0625	0.0625	0.06666666666666667	0.06666666666666667	0.0625	0.07142857142857142	0.07142857142857142	0.07692307692307693	0.06666666666666667
Office supplies	0.0625	0.05263157894736842	0.05263157894736842	0.05555555555555555	0.05	0.05263157894736842	0.05263157894736842	0.058823529411764705	0.0625	0.05555555555555555
Eating and drinking establishments/Mass eatery/Family restaurant/Coffee	0.05555555555555555	0.047619047619047616	0.047619047619047616	0.05	0.047619047619047616	0.047619047619047616	0.05	0.05263157894736842	0.05555555555555555	0.05
Electricity/water supply	0.06666666666666667	0.05555555555555555	0.05555555555555555	0.058823529411764705	0.05555555555555555	0.05555555555555555	0.058823529411764705	0.0625	0.06666666666666667	0.058823529411764705
Supplement/Health food	0.07142857142857142	0.0625	0.0625	0.0625	0.05555555555555555	0.0625	0.058823529411764705	0.07142857142857142	0.07692307692307693	0.06666666666666667
Securities	0.05263157894736842	0.047619047619047616	0.05263157894736842	0.047619047619047616	0.043478260869565216	0.05263157894736842	0.045454545454545456	0.05263157894736842	0.058823529411764705	0.05263157894736842
Parts/Accessories	0.058823529411764705	0.05263157894736842	0.05263157894736842	0.05263157894736842	0.047619047619047616	0.05263157894736842	0.05	0.058823529411764705	0.0625	0.05555555555555555
AirplaneFlight ticket	0.0625	0.05555555555555555	0.05555555555555555	0.05555555555555555	0.05	0.05555555555555555	0.05263157894736842	0.0625	0.06666666666666667	0.058823529411764705
other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
car	0.05555555555555555	0.047619047619047616	0.047619047619047616	0.05	0.058823529411764705	0.047619047619047616	0.09090909090909091	0.05263157894736842	0.05555555555555555	0.05
Human Resources Services/Employment/Career Change/Dispatch	0.047619047619047616	0.041666666666666664	0.041666666666666664	0.043478260869565216	0.0	0.0	0.047619047619047616	0.045454545454545456	0.047619047619047616	0.043478260869565216
Baby	0.05555555555555555	0.047619047619047616	0.047619047619047616	0.05	0.05263157894736842	0.047619047619047616	0.05555555555555555	0.05263157894736842	0.05555555555555555	0.05
Gambling	0.07142857142857142	0.0625	0.07142857142857142	0.0625	0.05555555555555555	0.08333333333333333	0.058823529411764705	0.07142857142857142	0.08333333333333333	0.07142857142857142
Living consumable materials	0.06666666666666667	0.05555555555555555	0.05555555555555555	0.058823529411764705	0.0	0.0	0.0625	0.0625	0.06666666666666667	0.058823529411764705
Visual acuity/vision correction	0.05555555555555555	0.05	0.05555555555555555	0.05	0.045454545454545456	0.058823529411764705	0.047619047619047616	0.05555555555555555	0.0625	0.05555555555555555
Jewelry	0.06666666666666667	0.05555555555555555	0.05555555555555555	0.058823529411764705	0.07142857142857142	0.05555555555555555	0.1111111111111111	0.0625	0.06666666666666667	0.058823529411764705
