product_ctgr_id	product_ctgr_name
9	ポータルサイト
74	スキルアップ
108	結婚
4	PC
89	ダイエット
47	ソフトウェア
102	株
57	家庭用ゲーム
83	アンチエイジング
133	官庁・自治体・公共団体
64	ニュース・出版物
44	ホスティングサービス
29	医薬品
120	自動車売買
3	その他乗り物
16	ヘアケア
79	法務・会計・監査
60	芸術・デザイン
49	ハードウェア
51	エンターテインメント
70	観光名所・名跡
68	ホテル
66	食品
104	消費者金融
117	クルーズ
115	マタニティ
85	スキンケア
98	建設・建築
94	家具・インテリア
61	骨董品
67	料理店（居酒屋、料亭、ナイトクラブ等）
82	医薬部外品
33	ガーデニング
7	ドメイン
2	不動産(中古・その他)
69	リゾート
131	宗教
14	美容整形
54	映画
56	スポーツ
48	ネットワーク機器
71	旅行
130	比較サイト
109	出会い
50	家電製品
22	玩具店
134	葬祭サービス
20	ゲーム
1	金融
116	スポーツ用品
45	インターネットサービスプロバイダ
26	調味料・保存食・食品雑貨
80	オフィス
110	求人・仕事
100	不動産(分譲・戸建)
11	学校・教育機関・教育サービス
97	リフォーム
52	写真・動画
112	靴
107	保険
106	投資
135	探偵
19	書籍
23	娯楽施設
95	建材
46	電話
18	音楽
92	ショッピングセンター・商業施設・工場
38	占い
75	学習教材
93	ケアセンター
86	メイク・コスメ
101	クレジットカード
13	語学・留学
8	インターネット
129	ポイント・懸賞
122	漫画・アニメ(青年向け)
78	短大・大学
53	テレビ番組
91	病院・クリニック
88	日焼け・サンケア
31	ペット
6	携帯電話
55	オンラインゲーム
90	フィットネス・ジム
99	不動産(賃貸)
58	玩具
103	銀行
96	工具
27	衣料品
37	SNS
41	事務用品
65	飲食店（大衆食堂、ファミリーレストラン、喫茶店等）
73	電気・水道
81	サプリメント・健康食品
105	証券
121	パーツ・アクセサリー
72	飛行機・航空券
137	その他（一般）
118	自動車
10	人材サービス（就職・転職・派遣）
114	ベビー
125	ギャンブル
123	生活消費材
87	視力・視力矯正
113	ジュエリー
77	専門学校
124	法人向けサービス（BtoB）
63	占い
111	バッグ
59	漫画・アニメ
84	エステティック
76	学習塾・予備校
