product_ctgr_name	/Arts & Entertainment	/Computers & Electronics	/Finance	/Games	/Home & Garden	/Business & Industrial	/Internet & Telecom	/People & Society	/News	/Shopping	/Law & Government	/Sports	/Books & Literature	/Arts & Entertainment/Performing Arts	/Arts & Entertainment/Visual Art & Design	/Business & Industrial/Advertising & Marketing	/Business & Industrial/Business Services/Office Services	/Real Estate	/Computers & Electronics/Computer Hardware	/Computers & Electronics/Programming	/Computers & Electronics/Software	/Arts & Entertainment/Offbeat	/Arts & Entertainment/Movies	/Arts & Entertainment/Music & Audio	/Arts & Entertainment/TV & Video	/Finance/Banking	/Finance/Insurance	/Games/Card Games	/Games/Computer & Video Games	/Arts & Entertainment/Music & Audio/Jazz & Blues/Jazz
Portal site	0.20442532613585243	0.16740090906112579	0.19185924369747898	0.21878306878306877	0.16390424590888986	0.11633597883597883	0.16454420443391032	0.2837477337477337	0.23535288241170593	0.180765639589169	0.2520197395197395	0.20442532613585243	0.19484147388559156	0.200236631989728	0.15337273939638738	0.168112541554879	0.06069703243616287	0.28876025934849464	0.17876954820969265	0.1755536872732435	0.17974238141936802	0.20921124035159125	0.21265039379074469	0.22956309041835357	0.20447039308300918	0.19185924369747898	0.230453431372549	0.2116041974594606	0.1915155194631459	0.2208408689611697
Skill up	0.2054131054131054	0.1542163729632882	0.1924992219109866	0.22021720969089392	0.13738717709305942	0.1193678641047062	0.13793406551404486	0.29291088359715806	0.237367570700904	0.18113157721000858	0.2592203863101696	0.2054131054131054	0.18333260784241176	0.20110847757906583	0.15514082556099362	0.17037910108085547	0.06319475158484446	0.2776852776852777	0.15923089329746426	0.16697732261252102	0.1712819504465606	0.2103478068390349	0.2103478068390349	0.23144796380090493	0.1994016694997087	0.1924992219109866	0.22543368224482777	0.21281515755199962	0.18336786956497997	0.22240503938867504
Marriage	0.24262820512820513	0.17792612659098728	0.22780987394957983	0.2595238095238095	0.1528186274509804	0.14017857142857143	0.15339635854341738	0.34133158508158506	0.278971028971029	0.21470588235294116	0.30347985347985346	0.24262820512820513	0.2114830635051223	0.23768876140199668	0.1782665710514975	0.20048909423909422	0.07008928571428572	0.2912087912087912	0.18104110515101227	0.1945540423771848	0.19949348610339324	0.24826007326007324	0.2534188034188034	0.27211538461538465	0.23271351809954752	0.2278098739495798	0.24961922268907563	0.2510760073260073	0.21338410364145657	0.2618916797488226
PC	0.2583333333333333	0.20426556587547298	0.2426470588235294	0.2761904761904762	0.19215686274509805	0.1380952380952381	0.1929563492063492	0.3344988344988345	0.2967032967032967	0.22875816993464052	0.29835164835164835	0.2583333333333333	0.23862942612942614	0.2531045751633987	0.189828431372549	0.20780677655677654	0.06904761904761905	0.37362637362637363	0.21554212328206135	0.21705939685815848	0.2222881550280931	0.2642857142857143	0.2642857142857143	0.2894230769230769	0.25443376068376067	0.24264705882352944	0.2951330532212885	0.26726190476190476	0.2369981325863679	0.2786499215070643
Diet	0.19229975390966103	0.1990430622009569	0.18045634920634918	0.2058531746031746	0.23735380116959065	0.12375992063492064	0.23821471571084574	0.3035651848151848	0.22152749211572742	0.17001326846528084	0.2687003968253968	0.19229975390966103	0.22274130023743027	0.18835195234189042	0.14126396425641782	0.1653367718238074	0.06187996031746032	0.27541478129713426	0.22916973377499686	0.19284749120275435	0.196795292770525	0.1968175608074989	0.21632619759554741	0.2160903531453067	0.2121088921398519	0.1804563492063492	0.2189484126984127	0.1990764642564178	0.2078877749930382	0.20783058500053192
Software	0.23977732793522266	0.1925155050058301	0.2252363445378151	0.2563492063492063	0.18412391272298392	0.12817460317460316	0.1848356810672987	0.3106667637917638	0.27541576070987833	0.21237161531279178	0.27697268009768006	0.23977732793522266	0.22441131172748818	0.23493033346942016	0.17619775010206512	0.19288557374857684	0.06408730158730158	0.3272095551507316	0.20372315163336832	0.20342245151649174	0.20826944598229424	0.24530128740655055	0.2504600175652807	0.2686867408906882	0.2376394181154243	0.22523634453781513	0.26499912464986	0.2480632671422145	0.22190315453666845	0.25866440368320065
stocks	0.2682073774179037	0.1951952724205046	0.2511204481792717	0.2878306878306878	0.16759238783232588	0.1439153439153439	0.16828224879695466	0.353376715876716	0.31061095766978114	0.23610333022097726	0.31261192511192515	0.26820737741790374	0.23409088188499952	0.2625117343383597	0.1968838007537698	0.2166622557295932	0.07195767195767196	0.3558598264480617	0.19922312570661382	0.21383699767342698	0.219532640752971	0.27474848088883175	0.27474848088883175	0.30280026990553305	0.25784468083229695	0.2511204481792717	0.2906395891690009	0.2780190326242958	0.23551450794742848	0.2907780746126611
Home games	0.19160839160839158	0.15479775642314342	0.17971734148204738	0.20519480519480518	0.14970715558950853	0.10259740259740259	0.15031700325817973	0.24997527724800458	0.22087003905185723	0.16922162804515747	0.2221778221778222	0.19160839160839158	0.1808152928473784	0.18764470823294352	0.1440064039927241	0.1544183089637635	0.05374149659863946	0.24884206702388523	0.16487420232143002	0.16310428477611139	0.1670679681515595	0.19613719613719613	0.20364080364080364	0.21538461538461542	0.19078454225513045	0.17971734148204735	0.20544308632543926	0.19840159840159838	0.178206434088787	0.20713572142143574
Anti aging	0.21447675131885655	0.16891586850776272	0.2011459129106188	0.22972582972582972	0.1588892016136598	0.13001443001443	0.1595238095238095	0.31854736172917986	0.24734623665104943	0.18938969527204821	0.28217060717060716	0.2144767513188566	0.19842059307299947	0.21003313851611066	0.16118822258213145	0.18046296199969153	0.06810279667422524	0.30381383322559796	0.17790639430099042	0.17965921664204804	0.18410282944479398	0.21955977745451427	0.21955977745451427	0.2412127346337873	0.21159929252034518	0.20114591291061876	0.24213139801375097	0.22210129052234315	0.19658698141670278	0.23193289584267024
Government agencies/municipalities/public organizations	0.24759615384615385	0.19651149933657674	0.2310924369747899	0.26666666666666666	0.24789915966386555	0.26666666666666666	0.18985042735042734	0.5489316239316239	0.288961038961039	0.21666666666666667	0.49358974358974356	0.24759615384615385	0.23336940836940837	0.24209491488903248	0.19367593191122598	0.2674726315351315	0.15238095238095237	0.288961038961039	0.20892974414646237	0.20803847854931445	0.21353971750643574	0.25395299145299144	0.27409188034188037	0.28149038461538467	0.24708867521367522	0.2310924369747899	0.2488795518207283	0.25713141025641023	0.22894491129785244	0.2696886446886447
News/Publications	0.20168067226890757	0.25604575163398696	0.18888888888888888	0.21634615384615385	0.23333333333333334	0.10817307692307693	0.3456020566121185	0.2650849150849151	0.5666666666666667	0.17763157894736842	0.23479645354645357	0.20168067226890757	0.4264254385964912	0.197416744475568	0.14806255835667598	0.20450670652876535	0.054086538461538464	0.23333333333333334	0.26514161220043575	0.23366013071895428	0.26173358232181765	0.20656916612798967	0.32299073475544066	0.2729182582123758	0.26829377085762535	0.18888888888888888	0.20261752136752137	0.2090134130575307	0.2498931623931624	0.2758801072876703
Hosting service	0.21924763832658567	0.17853045324988048	0.20525210084033613	0.23531746031746031	0.17501013563320067	0.12807539682539681	0.17573495744451625	0.315339695027195	0.25396662161368044	0.1929505135387488	0.27851610195360194	0.21924763832658567	0.20922391538200363	0.21458245916450247	0.16349139745866856	0.18234126339776494	0.06610343061955966	0.3024034788740671	0.19125189002317486	0.18743766911336576	0.1921028482754489	0.22460424565687723	0.22976297581560742	0.24756452429149797	0.2197144740149771	0.20525210084033613	0.24310224089635857	0.227282549322023	0.20519323226366568	0.2377244048766605
Pharmaceuticals	0.24617183985605037	0.18800190788008794	0.23128384687208214	0.26313561681982733	0.16963732861565675	0.1371233639654692	0.1702798915337615	0.33279004220180697	0.2826489414724709	0.2181093851682087	0.2964622277160977	0.24617183985605037	0.22125755508108444	0.241209175528061	0.18090688164604576	0.20076687731486492	0.0685616819827346	0.32493911317440727	0.19461597747594064	0.20242922087741938	0.20739188520540883	0.25182643217730943	0.25457775492863216	0.275758117011987	0.23938856064243064	0.23128384687208217	0.26712062017789573	0.25465372833793887	0.22135226410252207	0.265501680654268
Vehicle trading	0.20272237437485116	0.16927938440128842	0.1902690242763772	0.2169394841269841	0.16908109735122118	0.11888640873015872	0.169734001056563	0.2901176948051948	0.2333289259759848	0.17926802299867317	0.25760550213675215	0.20272237437485116	0.19628262604268795	0.19857125767535985	0.15129238680027413	0.16845602945278834	0.061360727086533534	0.27215039862098683	0.18207224527851462	0.17627593102631803	0.18042704772580934	0.20746141095889548	0.21491793523527267	0.22758028059401897	0.20427981541807005	0.1902690242763772	0.22195742880485528	0.20983092925091762	0.1920965352515275	0.21895790789325176
Other vehicles	0.20172739541160595	0.17215206018611587	0.1891736694677871	0.21608465608465607	0.17604255737382674	0.11359788359788361	0.1767528549881491	0.2776081326081326	0.2326692914928209	0.17810146280734515	0.2462901912901913	0.20172739541160598	0.1991233167703756	0.1975428200969997	0.15066825261635566	0.16539811352504852	0.0587575259989053	0.27780846604376014	0.1872048625608997	0.17782592994667298	0.18201050526127927	0.20651314896928932	0.2147671172232576	0.22688933873144404	0.2052708537306061	0.18917366946778713	0.22379318394024275	0.208906025748131	0.1937669609754233	0.21815668597623483
Hair Care	0.19576923076923075	0.15037667698658413	0.183718487394958	0.2095238095238095	0.13715686274509803	0.1130952380952381	0.13769724556489263	0.27586247086247084	0.22537462537462538	0.1730718954248366	0.24501831501831503	0.19576923076923075	0.1772297963474434	0.1917523163111399	0.1475017817777999	0.16183358308358306	0.05952380952380952	0.2505494505494505	0.15653927427921233	0.1614906137893754	0.1655075282474663	0.20035409035409038	0.2044810744810745	0.21980769230769232	0.19111739567621921	0.18371848739495797	0.2085259103641457	0.20264652014652013	0.1767997198879552	0.21147043432757714
Legal affairs/accounting/auditing	0.16096491228070176	0.1145274864024864	0.15096153846153848	0.17243867243867245	0.09471153846153846	0.1362193362193362	0.09512568185168804	0.21073232323232322	0.26266968325791856	0.14215686274509803	0.18691378066378067	0.16096491228070176	0.15657185951303598	0.15763045434098066	0.12610436347278453	0.17401831699432319	0.07783962069676356	0.18574660633484164	0.11564275865746454	0.1266721704221704	0.14111773947300263	0.17404875825928456	0.16478949900002532	0.20201023391812864	0.16348023858666272	0.15096153846153848	0.16170010545010546	0.1667017923596871	0.13937058312058312	0.20068434072193472
Arts and Design	0.6084558823529412	0.3164000687994496	0.4396284829721362	0.575	0.11437908496732026	0.12916666666666665	0.11475533195734433	0.3086080586080586	0.2761904761904762	0.4298245614035088	0.27751831501831503	0.5404411764705883	0.19218880534670008	0.6180555555555557	0.4733455882352941	0.24995039682539683	0.06458333333333333	0.2761904761904762	0.2569651252313791	0.3808680197225089	0.2918157321408096	0.4917483660130719	0.5556372549019608	0.45257958952811894	0.4054505489780258	0.4396284829721362	0.34898090815273475	0.5577205882352941	0.3997276688453159	0.36484940129898114
Hardware	0.22095588235294117	0.18409012727898177	0.20782271241830064	0.23586309523809523	0.1824346405228758	0.11793154761904763	0.1831187957639196	0.2842053779553779	0.2529304029304029	0.19616443068455452	0.25426396520146516	0.22095588235294117	0.2124376386857037	0.21657815904139435	0.16243361928104574	0.17743734513035983	0.05896577380952381	0.290018315018315	0.19717730096987063	0.19200098899208806	0.1963787123036349	0.22592495331465914	0.23567927170868344	0.24681035875888815	0.2216303685779305	0.20782271241830064	0.2391048085901027	0.22840948879551817	0.20870681605975724	0.23785947071136146
Entertainment	0.22225163500467138	0.20108539551264007	0.20896897220426633	0.23736263736263735	0.21547590696197505	0.1250915750915751	0.21629767291532	0.30292720100412407	0.25471361217967553	0.19719887955182072	0.2702099182868414	0.22225163500467146	0.22886510171578045	0.21782408073786974	0.1633680605534023	0.18178709934187423	0.06254578754578753	0.3248968226343792	0.2221333838028289	0.20371325440984883	0.20814080867665055	0.22728863579066014	0.23681244531446966	0.2485518530052943	0.23059298306678636	0.20896897220426636	0.2561328377504848	0.2298071361836544	0.22060250550962626	0.2394390456275939
sightseeing spot/name trace	0.30357142857142855	0.20573492554916706	0.29166666666666663	0.36877828054298645	0.24298245614035086	0.1255656108597285	0.19379960317460315	0.30768398268398267	0.2708333333333333	0.28125	0.2725353078294255	0.34523809523809523	0.22604166666666664	0.2842522974101921	0.26620121732903684	0.20802873274815997	0.083710407239819	0.3125	0.21701772814388912	0.24534375153570198	0.21519894507510606	0.2860913596207713	0.3285929756517991	0.2987554112554113	0.27058306277056277	0.29166666666666663	0.29062971342383104	0.35700818789054084	0.2954407133973697	0.27348669071358145
Hotels	0.23914754835807464	0.20435532533055753	0.22433473389355743	0.2560846560846561	0.20906064180057984	0.12804232804232804	0.20990851468792646	0.31204674954674955	0.27564592270474625	0.21126672891378773	0.2772944647944648	0.2391475483580747	0.2361345081933317	0.2342099435365689	0.17565745765242669	0.1927195317868692	0.06402116402116402	0.34653581712405246	0.2222943446111661	0.21101512818489082	0.21595273300639656	0.2447932509336018	0.25167155781190864	0.2688259109311741	0.243355615975585	0.2243347338935574	0.2732784780578898	0.24761610222136543	0.22982667725959777	0.25852619950364314
food	0.22524509803921566	0.2035216718266254	0.2116013071895425	0.24077380952380953	0.21830065359477124	0.12038690476190476	0.21917001449702686	0.29145854145854144	0.25860805860805863	0.19951840385276917	0.26003891941391943	0.22524509803921566	0.2320087076666024	0.22069716775599127	0.16552287581699346	0.18115674154277095	0.06019345238095238	0.33553113553113556	0.22536365423362328	0.20621488361426443	0.21076281389748883	0.23042133520074695	0.2396125116713352	0.2522745636716225	0.2338008955269017	0.21160130718954248	0.26190184407096173	0.2330094537815126	0.22355859010270776	0.24290889432696153
