product_ctgr_name	/Arts & Entertainment	/Computers & Electronics	/Finance	/Games	/Home & Garden	/Business & Industrial	/Internet & Telecom	/People & Society	/News	/Shopping	/Law & Government	/Sports	/Books & Literature	/Arts & Entertainment/Performing Arts	/Arts & Entertainment/Visual Art & Design	/Business & Industrial/Advertising & Marketing	/Business & Industrial/Business Services/Office Services	/Real Estate	/Computers & Electronics/Computer Hardware	/Computers & Electronics/Programming	/Computers & Electronics/Software	/Arts & Entertainment/Offbeat	/Arts & Entertainment/Movies	/Arts & Entertainment/Music & Audio	/Arts & Entertainment/TV & Video	/Finance/Banking	/Finance/Insurance	/Games/Card Games	/Games/Computer & Video Games	/Arts & Entertainment/Music & Audio/Jazz & Blues/Jazz
Portal site	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Skill up	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Marriage	0.13333333333333333	0.1111111111111111	0.125	0.14285714285714285	0.11764705882352941	0	0.1111111111111111	0.16666666666666666	0.15384615384615385	0.11764705882352941	0.14285714285714285	0.13333333333333333	0.1111111111111111	0.125	0	0	0	0.15384615384615385	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.13333333333333333	0.13333333333333333	0.13333333333333333	0.1111111111111111	0.125	0.125	0.13333333333333333	0.11764705882352941	0.13333333333333333
PC	0.25	0.11764705882352941	0.23529411764705882	0.26666666666666666	0.11764705882352941	0	0.1111111111111111	0.3076923076923077	0.2857142857142857	0.2222222222222222	0.26666666666666666	0.25	0.1111111111111111	0.23529411764705882	0	0	0	0.2857142857142857	0.11764705882352941	0.11764705882352941	0.11764705882352941	0.25	0.25	0.25	0.1111111111111111	0.23529411764705882	0.23529411764705882	0.25	0.11764705882352941	0.25
Diet	0.11764705882352941	0.1	0.1111111111111111	0.125	0.21052631578947367	0	0.2	0.14285714285714285	0.13333333333333333	0.10526315789473684	0.125	0.11764705882352941	0.13333333333333333	0.1111111111111111	0	0	0	0.13333333333333333	0.1	0.1	0.1	0.11764705882352941	0.11764705882352941	0.11764705882352941	0.11764705882352941	0.1111111111111111	0.1111111111111111	0.11764705882352941	0.1111111111111111	0.11764705882352941
Software	0.13333333333333333	0.1111111111111111	0.125	0.14285714285714285	0.11764705882352941	0	0.1111111111111111	0.16666666666666666	0.15384615384615385	0.11764705882352941	0.14285714285714285	0.13333333333333333	0.1111111111111111	0.125	0	0	0	0.15384615384615385	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.13333333333333333	0.13333333333333333	0.13333333333333333	0.1111111111111111	0.125	0.125	0.13333333333333333	0.11764705882352941	0.13333333333333333
stocks	0.21052631578947367	0.11764705882352941	0.2	0.2222222222222222	0.11764705882352941	0	0.1111111111111111	0.25	0.23529411764705882	0.19047619047619047	0.2222222222222222	0.21052631578947367	0.1111111111111111	0.2	0	0	0	0.2857142857142857	0.11764705882352941	0.11764705882352941	0.11764705882352941	0.21052631578947367	0.21052631578947367	0.21052631578947367	0.1111111111111111	0.2	0.2	0.21052631578947367	0.11764705882352941	0.21052631578947367
Home games	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anti aging	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Government agencies/municipalities/public organizations	0.125	0.10526315789473684	0.11764705882352941	0.13333333333333333	0.11764705882352941	0	0.1111111111111111	0.15384615384615385	0.14285714285714285	0.1111111111111111	0.13333333333333333	0.125	0.1111111111111111	0.11764705882352941	0	0	0	0.14285714285714285	0.10526315789473684	0.10526315789473684	0.10526315789473684	0.125	0.125	0.125	0.1111111111111111	0.11764705882352941	0.11764705882352941	0.125	0.11764705882352941	0.125
News/Publications	0.11764705882352941	0.1	0.1111111111111111	0.125	0.13333333333333333	0	0.125	0.14285714285714285	0.13333333333333333	0.10526315789473684	0.125	0.11764705882352941	0.125	0.1111111111111111	0	0	0	0.13333333333333333	0.1	0.1	0.1	0.11764705882352941	0.11764705882352941	0.11764705882352941	0.11764705882352941	0.1111111111111111	0.1111111111111111	0.11764705882352941	0.1111111111111111	0.11764705882352941
Hosting service	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
