product_ctgr_name	/Arts & Entertainment	/Computers & Electronics	/Finance	/Games	/Home & Garden	/Business & Industrial	/Internet & Telecom	/People & Society	/News	/Shopping
Portal site	0.18457602339181287	0.4636363636363637	0.09872408293460926	0.18930659983291562	0.3233906029184667	0.10795198284878367	0.6015037593984962	0.11906067251461988	0.11386308909528724	0.3253968253968254
Skill up	0.4525474525474526	0.2568627450980392	0.3838176937441643	0.3522853957636567	0.1162964931681509	0.38524749760043875	0.13392857142857142	0.32972367139033815	0.34725274725274724	0.2598901098901099
Marriage	0.2960765133559251	0.16861420456621692	0.29453453896178355	0.27113897454454733	0.18832200597390225	0.33639291612717825	0.12075746965452848	0.3701375038038157	0.3079796020972491	0.21940000359118006
PC	0.18457602339181287	0.4636363636363637	0.09872408293460926	0.18930659983291562	0.3233906029184667	0.10795198284878367	0.6015037593984962	0.11906067251461988	0.11386308909528724	0.3253968253968254
Diet	0.23839834629308312	0.19158430721898215	0.22675446973047592	0.23660037241441192	0.20288322326936015	0.2550130520589757	0.18006674160892427	0.25340904771374323	0.2099212303004873	0.23702731092436974
Software	0.2685897435897436	0.15701017249004864	0.23194014447884417	0.21534462269756388	0.1628657254624747	0.2580622622418288	0.11805555555555555	0.29078996983408745	0.3604761904761905	0.17777777777777776
stocks	0.20699676613376303	0.29341905102993404	0.1791851285575205	0.20119709004612374	0.2846325953890593	0.1682286533584936	0.37471570246918545	0.20366427281127822	0.1766355122345834	0.2614765782437882
Home games	0.36933760683760686	0.19209789178829426	0.42879256965944273	0.3878342245989304	0.1628657254624747	0.39360004460623654	0.11805555555555555	0.29078996983408745	0.3497619047619048	0.28888888888888886
Anti aging	0.20470085470085472	0.31668576521517694	0.16651959151959148	0.2115982147844893	0.27061824612381224	0.14943590891866756	0.3488603988603989	0.19075979575979574	0.1731934731934732	0.23588510255176923
Government agencies/municipalities/public organizations	0.3148965254970157	0.19454794002007625	0.32312004348898055	0.28673248978976534	0.21859617338380222	0.36878772859563735	0.1469255875989622	0.41756002962465805	0.30824484611249314	0.24273369604251957
News/Publications	0.3208563687837853	0.2023770041829898	0.3331079710336677	0.2804792865868013	0.19819520363251011	0.32310216305457673	0.17493106404355113	0.3022926498739193	0.4485270321544831	0.25467225890342504
Hosting service	0.3322210115115172	0.20413541259662316	0.3250030189503112	0.3196930183415061	0.1914766661564998	0.35679133003230756	0.17145141150559107	0.27483989964337774	0.2684369571490314	0.27402172019213344
Pharmaceuticals	0.16587301587301587	0.2742165242165242	0.12314814814814816	0.17995925642984464	0.23884369987311163	0.13803757970424638	0.25098039215686274	0.1570211038961039	0.14754578754578757	0.20168067226890757
Vehicle trading	0.2553740649328885	0.333932240789826	0.22971026737280606	0.25272777331600854	0.3046332024814997	0.21178409271804519	0.4697374847374848	0.20527301456713218	0.19248285048285052	0.2994822915875547
Other vehicles	0.2195302382802383	0.3693908280402089	0.13094749033216527	0.2252856175316068	0.3543771811264071	0.14053014612530665	0.557657967032967	0.17123107692960632	0.15941308691308692	0.3388167388167388
Hair Care	0.4250700280112045	0.1814814814814815	0.4606237816764132	0.41648294086374577	0.15280204186937932	0.4666770411868451	0.11145510835913312	0.2707884435825612	0.3041176470588235	0.3256578947368421
Legal affairs/accounting/auditing	0.3165291322025067	0.17441462791307993	0.30457160003820777	0.279144913838519	0.16760972969048304	0.30816323840704646	0.1177356381148951	0.2935871583435185	0.338589550800077	0.2684254459303714
Arts and Design	0.38587484138954725	0.2777411662602581	0.3142467254108121	0.3135078096873985	0.2205755158414882	0.3429849700618535	0.2411543367909467	0.2634816590670798	0.2822297827444886	0.27135699482835707
Hardware	0.22102388352388352	0.39878481607067784	0.12346579957519069	0.2235172779290426	0.3869265602818235	0.13849434719747758	0.6210200746965453	0.15770956984192278	0.14808913308913307	0.36604150207091385
Entertainment	0.4943376068376068	0.19209789178829426	0.48652677445247106	0.46461675579322637	0.1628657254624747	0.4842031864477685	0.11805555555555555	0.29078996983408745	0.32476190476190475	0.34444444444444444
sightseeing/spot/name/trace	0.28092405896413464	0.22745634669152615	0.24805573636662986	0.25173748677264196	0.22596178381371645	0.26876726220264807	0.23406873245624535	0.2677686081235899	0.29324749929325084	0.2578946185679932
Hotels	0.22147435897435896	0.38802889576883387	0.11597007223942209	0.2137551990493167	0.39616788010750864	0.1290311311209144	0.5902777777777778	0.14539498491704372	0.13738095238095238	0.38888888888888884
food	0.2792984792984793	0.27077073253543843	0.2511348128995188	0.27828005328005334	0.2475466118848472	0.25824672785457103	0.23609584859584856	0.23853368853368853	0.23121323121323117	0.2436965811965812
Consumer finance	0.3366864656241591	0.2745346729866854	0.50765578161089	0.31064377173207436	0.20323116187409268	0.34557181437986395	0.1938954309794093	0.24049287438090328	0.2592497552327274	0.2644964684438369
Cruise	0.32605779153766773	0.1557395905221992	0.2812714953031159	0.2864712285764917	0.16733144151033505	0.35456064619253924	0.09545454545454546	0.23120024325519684	0.2554385964912281	0.26007274077449516
Maternity	0.28151663151663153	0.17900420204341774	0.26333006136927706	0.24702078966784846	0.2005941271872644	0.2979714306511692	0.13433617036558212	0.3615294427794427	0.35008991008991	0.20255512461394817
