product_ctgr_name	/Arts & Entertainment	/Computers & Electronics	/Finance	/Games	/Home & Garden	/Business & Industrial	/Internet & Telecom	/People & Society	/News	/Shopping	/Law & Government	/Sports	/Books & Literature	/Arts & Entertainment/Performing Arts	/Arts & Entertainment/Visual Art & Design	/Business & Industrial/Advertising & Marketing	/Business & Industrial/Business Services/Office Services	/Real Estate	/Computers & Electronics/Computer Hardware	/Computers & Electronics/Programming	/Computers & Electronics/Software	/Arts & Entertainment/Offbeat	/Arts & Entertainment/Movies	/Arts & Entertainment/Music & Audio	/Arts & Entertainment/TV & Video	/Finance/Banking	/Finance/Insurance	/Games/Card Games	/Games/Computer & Video Games	/Arts & Entertainment/Music & Audio/Jazz & Blues/Jazz
Portal site	0.25	0.19047619047619047	0.2222222222222222	0.23529411764705882	0.2	0.25	0.125	0.26666666666666666	0.26666666666666666	0.21052631578947367	0.23529411764705882	0.23529411764705882	0.26666666666666666	0.23529411764705882	0.23529411764705882	0.23529411764705882	0.23529411764705882	0.2857142857142857	0.18181818181818182	0.21052631578947367	0.21052631578947367	0.25	0.25	0.25	0.23529411764705882	0.2222222222222222	0.23529411764705882	0.23529411764705882	0.2222222222222222	0.25
Skill up	0.25	0.18181818181818182	0.23529411764705882	0.23529411764705882	0.15384615384615385	0.25	0.125	0.2857142857142857	0.2857142857142857	0.21052631578947367	0.25	0.23529411764705882	0.2857142857142857	0.25	0.25	0.25	0.25	0.2857142857142857	0.15384615384615385	0.2222222222222222	0.21052631578947367	0.25	0.25	0.25	0.25	0.23529411764705882	0.23529411764705882	0.25	0.23529411764705882	0.25
Marriage	0.25	0.16666666666666666	0.2222222222222222	0.23529411764705882	0.15384615384615385	0.25	0.125	0.26666666666666666	0.2857142857142857	0.21052631578947367	0.25	0.2222222222222222	0.26666666666666666	0.25	0.25	0.25	0.23529411764705882	0.3076923076923077	0.15384615384615385	0.21052631578947367	0.2	0.25	0.25	0.25	0.23529411764705882	0.2222222222222222	0.23529411764705882	0.23529411764705882	0.2222222222222222	0.25
PC	0.25	0.19523809523809524	0.2222222222222222	0.23529411764705882	0.2	0.25	0.12916666666666665	0.26666666666666666	0.26666666666666666	0.21052631578947367	0.23529411764705882	0.23529411764705882	0.26666666666666666	0.2426470588235294	0.23529411764705882	0.23529411764705882	0.23529411764705882	0.2857142857142857	0.18614718614718614	0.21052631578947367	0.21052631578947367	0.25	0.25	0.23529411764705882	0.23529411764705882	0.2222222222222222	0.23529411764705882	0.23529411764705882	0.2222222222222222	0.23529411764705882
Diet	0.23529411764705882	0.2	0.21052631578947367	0.2222222222222222	0.21052631578947367	0.23529411764705882	0.125	0.25	0.25	0.21052631578947367	0.2222222222222222	0.23529411764705882	0.23529411764705882	0.23529411764705882	0.23529411764705882	0.23529411764705882	0.2222222222222222	0.2857142857142857	0.19523809523809524	0.21052631578947367	0.21052631578947367	0.23529411764705882	0.23529411764705882	0.23529411764705882	0.23529411764705882	0.21052631578947367	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.23529411764705882
Software	0.25	0.19047619047619047	0.2222222222222222	0.23529411764705882	0.2	0.25	0.125	0.26666666666666666	0.26666666666666666	0.21052631578947367	0.23529411764705882	0.23529411764705882	0.26666666666666666	0.25	0.25	0.23529411764705882	0.23529411764705882	0.3076923076923077	0.18181818181818182	0.21052631578947367	0.21052631578947367	0.25	0.25	0.25	0.23529411764705882	0.2222222222222222	0.23529411764705882	0.23529411764705882	0.2222222222222222	0.25
stocks	0.25	0.19523809523809524	0.2222222222222222	0.23529411764705882	0.2	0.25	0.13333333333333333	0.26666666666666666	0.26666666666666666	0.21052631578947367	0.23529411764705882	0.23529411764705882	0.2583333333333333	0.25	0.25	0.23529411764705882	0.23529411764705882	0.3076923076923077	0.18181818181818182	0.21052631578947367	0.21052631578947367	0.25	0.25	0.25	0.23529411764705882	0.2222222222222222	0.23529411764705882	0.23529411764705882	0.2222222222222222	0.25
Home games	0.25	0.18181818181818182	0.2222222222222222	0.23529411764705882	0.16666666666666666	0.25	0.125	0.2857142857142857	0.2857142857142857	0.21052631578947367	0.25	0.22875816993464052	0.26666666666666666	0.25	0.25	0.25	0.23529411764705882	0.3076923076923077	0.16666666666666666	0.21052631578947367	0.21052631578947367	0.25	0.25	0.25	0.25	0.2222222222222222	0.23529411764705882	0.23529411764705882	0.23529411764705882	0.25
Anti aging	0.25	0.18614718614718614	0.2222222222222222	0.2222222222222222	0.2	0.25	0.13333333333333333	0.26666666666666666	0.26666666666666666	0.21052631578947367	0.23529411764705882	0.22875816993464052	0.25	0.23529411764705882	0.23529411764705882	0.23529411764705882	0.23529411764705882	0.3076923076923077	0.18181818181818182	0.21052631578947367	0.21052631578947367	0.25	0.25	0.25	0.23529411764705882	0.2222222222222222	0.23529411764705882	0.2222222222222222	0.2222222222222222	0.23529411764705882
Government agencies/municipalities/public organizations	0.3076923076923077	0.16666666666666666	0.2857142857142857	0.26666666666666666	0.14285714285714285	0.3076923076923077	0.12916666666666665	0.36363636363636365	0.3076923076923077	0.19444444444444442	0.2857142857142857	0.18181818181818182	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.3076923076923077	0.2857142857142857	0.3205128205128205	0.16666666666666666	0.23529411764705882	0.19617224880382775	0.3076923076923077	0.3076923076923077	0.2857142857142857	0.2857142857142857	0.26666666666666666	0.26666666666666666	0.2857142857142857	0.26666666666666666	0.26969696969696966
